Sec,NanoSec,Sec_total,X,Y,Z,x_dot,y_dot,z_dot,q_x,q_y,q_z,q_w
1.63E+09,4.99E+08,1.63E+09,67.374,-14.666,8.6633,-0.0033007,-0.040779,0.010997,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.33E+08,1.63E+09,67.374,-14.668,8.6636,-0.0017642,-0.035128,0.0054154,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.66E+08,1.63E+09,67.374,-14.669,8.6638,-0.0010716,-0.030531,0.0039561,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.99E+08,1.63E+09,67.374,-14.67,8.6639,-6.36E-05,-0.027318,0.0039636,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.33E+08,1.63E+09,67.374,-14.671,8.6641,-0.00026151,-0.023956,0.0042576,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.66E+08,1.63E+09,67.374,-14.672,8.6642,-0.0014371,-0.019815,0.0032265,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.99E+08,1.63E+09,67.374,-14.672,8.6643,-5.76E-05,-0.017505,0.0030306,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.33E+08,1.63E+09,67.374,-14.673,8.6644,0.00060724,-0.014468,0.0025228,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.66E+08,1.63E+09,67.374,-14.673,8.6645,-0.00020554,-0.012809,0.0012428,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.99E+08,1.63E+09,67.374,-14.674,8.6645,-0.00094411,-0.011367,0.0036134,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.33E+08,1.63E+09,67.374,-14.674,8.6647,-0.0011294,-0.010303,0.0034755,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.66E+08,1.63E+09,67.374,-14.674,8.6648,-0.00089638,-0.0091542,0.0024155,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.99E+08,1.63E+09,67.374,-14.675,8.6649,-0.00071248,-0.0082683,0.0017735,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.33E+08,1.63E+09,67.374,-14.675,8.6649,-0.00086998,-0.0064164,0.0012646,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.66E+08,1.63E+09,67.374,-14.675,8.665,-0.00075522,-0.005487,0.0015498,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.99E+08,1.63E+09,67.374,-14.675,8.665,-0.0010282,-0.0052603,0.0020595,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.28E+07,1.63E+09,67.374,-14.676,8.6651,-0.00045962,-0.0036391,-0.00038954,-0.049895,-0.16441,-0.015417,0.98501
