time in sec,v_x,v_y,v_z,w_x,w_y,w_z
1632492872,2.49E-05,3.07E-05,-0.000703108,3.49E-17,1.67E-15,0
1632492873,-0.000279722,1.67E-05,0.000201708,3.43E-17,1.65E-15,0
1632492873,-0.000666686,8.36E-05,-0.000449295,3.48E-17,1.67E-15,0
1632492873,-0.000871627,9.96E-05,-0.000380381,3.49E-17,1.68E-15,0
1632492873,-0.000524871,5.77E-05,-0.000181675,3.44E-17,1.65E-15,0
1632492873,-6.91E-05,1.47E-05,-0.000174902,3.48E-17,1.67E-15,0
1632492873,0.000111423,2.17E-05,-0.000682631,3.49E-17,1.68E-15,0
1632492873,0.000116565,2.09E-05,-0.000675637,3.45E-17,1.66E-15,0
1632492873,-0.000522584,6.66E-05,-0.000374794,3.47E-17,1.67E-15,0
1632492873,0.000175965,1.00E-06,-0.000371954,3.47E-17,1.66E-15,0
1632492873,-0.000693901,-4.05E-06,0.001469016,3.48E-17,1.67E-15,0
1632492873,-0.000821513,1.28E-05,0.001364545,3.47E-17,1.66E-15,0
1632492873,0.001062195,-0.000134832,0.000749791,1.74E-17,8.36E-16,0
1632492873,0.001523456,-0.00018351,0.000865457,3.45E-17,1.65E-15,0
1632492873,0.001419412,-0.000141088,0.000170887,3.45E-17,1.66E-15,0
1632492873,0.001903414,-0.000161973,-0.000349653,3.51E-17,1.68E-15,0
1632492873,0.001109242,-8.63E-05,-0.000375867,3.43E-17,1.64E-15,0
1632492873,0.000970079,-7.73E-05,-0.000289974,3.49E-17,1.67E-15,0
1632492873,0.001308899,-0.000120232,-5.23E-05,3.50E-17,1.68E-15,0
1632492873,0.001188886,-0.000104512,-0.000147339,3.45E-17,1.65E-15,0
1632492873,0.000947627,-8.58E-05,-6.34E-05,3.47E-17,1.67E-15,0
1632492873,0.000951619,-0.000108151,0.000402894,3.47E-17,1.67E-15,0
1632492873,0.000513173,-8.03E-05,0.00068348,3.47E-17,1.67E-15,0
1632492873,0.00039647,-7.75E-05,0.000858041,3.46E-17,1.66E-15,0
1632492873,-0.001139614,2.30E-05,0.001781226,3.48E-17,1.67E-15,0
1632492873,-0.001766508,7.23E-05,0.001982895,3.47E-17,1.66E-15,0
