Sec,NanoSec,0-ref Sec,v_x,v_y,v_z,w_x,w_y,w_z
1633452048,576848745.3,54.43703818,0.956009361,0.014831489,-0.021192277,-0.020153294,-0.083094158,0.014250531
1633452048,610260248.2,54.47044969,0.994349007,0.019227211,-0.046083667,1.98E-15,0.007498426,-0.010604376
1633452048,643215179.4,54.50340462,0.971948973,0.00383582,-0.057636712,-0.027390254,-0.076426733,-1.03E-14
1633452048,676640749,54.53683019,0.970101685,0.006007754,-0.047314517,0.020612838,-0.053055539,0.007287739
1633452048,710043430.3,54.57023287,0.974079083,0.016607534,-0.043294882,0.01639142,-0.028390773,0.017955902
1633452048,743259906.8,54.60344934,0.976915837,0.019058756,-0.078049419,0.055149128,-0.030385688,-0.012764542
1633452048,776508808.1,54.63669825,0.967223309,0.019644331,-0.046759215,0.080809738,-0.056196569,-0.019356766
1633452048,809916734.7,54.67010617,0.950065264,0.016544732,-0.010457113,0.03649792,0.065289466,-0.007299584
1633452048,859972238.5,54.72016168,0.95078169,0.024699076,-0.024142508,0.032265911,0.025871889,-0.008941903
1633452048,943223953.2,54.80341339,0.92166653,-0.011121544,-0.042616677,-0.025413009,-3.44E-17,0
1633452049,9872436.523,54.87006187,1.162664301,0.025104825,-0.141625317,0.043780386,-0.159696752,-0.012638309
1633452049,59879779.82,54.92006922,1.014195853,0.026511002,0.026775732,0.049280602,-0.058876854,-0.011207124
1633452049,109936714.2,54.97012615,1.035455808,0.02924956,-0.043270064,-0.031711901,-0.05820167,-1.36E-14
1633452049,143380641.9,55.00357008,1.017434817,0.009619178,-0.04778727,-3.07E-15,-0.081566736,-0.010358986
1633452049,210022449.5,55.07021189,1.005174969,0.018290702,-0.045296285,0.011330449,-0.073113107,-0.002720123
1633452049,343348741.5,55.20353818,0.97260134,0.016718759,-0.061317651,0.024391258,-0.022749547,-0.007469149
1633452049,443346262,55.3035357,0.966161861,-0.01252314,0.035843171,-0.033602295,0.108760354,0.017961183
1633452049,476988315.6,55.33717775,0.958461651,0.019897942,-0.13172033,-0.007182941,0.019004275,-0.014365882
1633452049,526961803.4,55.38715124,0.9178712,0.021740228,-0.009860992,0.035309651,0.03550313,-0.03007078
1633452049,576537609.1,55.43672705,1.061102885,0.026045566,-0.021221719,0.036032006,0.036775011,-0.010401544
