Sec,NanoSec,0-ref Sec,Latitude,Longitude,Altitude
1632492874,69874117,5.650104284,42.29527132,-83.70959254,233.494
1632492874,119825418,5.700055599,42.29527195,-83.70959285,233.753
1632492874,170940230,5.751170397,42.29527203,-83.70959291,233.79
1632492874,219773365,5.800003529,42.29527186,-83.7095928,233.727
1632492874,269816830,5.850047112,42.29527184,-83.70959275,233.742
1632492874,319550316,5.899780512,42.29527261,-83.70959308,234.03
1632492874,369543555,5.949773788,42.29527273,-83.70959323,234.077
1632492874,419476235,5.999706507,42.29527263,-83.70959311,234.026
1632492874,469397477,6.049627781,42.29527213,-83.70959273,234.095
1632492874,519344758,6.099575043,42.29527157,-83.70959249,233.862
1632492874,569305342,6.149535656,42.29527141,-83.70959233,233.807
1632492874,620210130,6.200440407,42.2952714,-83.70959228,233.822
1632492874,672156888,6.252387047,42.29527133,-83.70959217,233.818
1632492874,720093682,6.300323963,42.29527123,-83.70959217,233.768
1632492874,770117217,6.350347519,42.29527125,-83.70959212,233.78
1632492874,819014556,6.399244785,42.29527129,-83.70959219,233.797
1632492874,869990432,6.450220585,42.2952712,-83.70959216,233.762
1632492874,920121977,6.500352144,42.29527165,-83.70959238,233.934
1632492874,969875386,6.550105572,42.29527168,-83.70959236,233.949
1632492875,19963182,6.600193501,42.2952716,-83.70959227,233.903
1632492875,69969128,6.650199413,42.29527165,-83.70959226,233.945
1632492875,119863315,6.700093508,42.29527169,-83.70959228,233.989
1632492875,170641294,6.75087142,42.29527264,-83.70959273,234.31
1632492875,219587067,6.799817324,42.29527176,-83.70959228,233.99
1632492875,269507447,6.849737644,42.29527173,-83.70959226,234.021
1632492875,319492901,6.899723053,42.29527112,-83.70959198,233.74
1632492875,369465001,6.949695349,42.29527099,-83.70959204,233.733
1632492875,419408654,6.999638796,42.29527098,-83.70959205,233.754
1632492875,470347739,7.050577879,42.29527086,-83.70959197,233.768
1632492875,519266387,7.099496603,42.2952707,-83.70959184,233.709
1632492875,570217655,7.150447845,42.29526946,-83.70959125,233.262
1632492875,620305357,7.200535536,42.29526945,-83.70959127,233.288
1632492875,673310863,7.253540993,42.29526982,-83.7095915,233.376
1632492875,725046318,7.305276632,42.29526933,-83.70959135,233.158
1632492875,770051514,7.350281715,42.29526943,-83.70959143,233.121
1632492875,819889548,7.400119781,42.29526959,-83.70959165,233.095
1632492875,869887477,7.450117826,42.29527035,-83.70959209,233.233
1632492875,919833869,7.500064135,42.29526988,-83.70959183,232.894
1632492875,969780682,7.55001092,42.29527017,-83.70959214,232.917
1632492876,19922044,7.600152254,42.29527052,-83.70959234,232.898
1632492876,69714521,7.649944782,42.29527119,-83.70959245,232.994
1632492876,119577657,7.699807882,42.2952713,-83.70959237,232.977
1632492876,170688386,7.750918627,42.29527117,-83.70959227,232.889
1632492876,219470687,7.799700975,42.29527117,-83.70959235,232.788
1632492876,270403608,7.85063386,42.29527103,-83.70959268,232.627
1632492876,319408344,7.899638653,42.29527127,-83.70959323,232.63
1632492876,370309117,7.950539351,42.29527218,-83.70959423,232.871
1632492876,420260920,8.000491142,42.29527299,-83.70959473,232.978
1632492876,470237021,8.050467253,42.29527442,-83.70959511,233.376
1632492876,520176463,8.100406647,42.29527502,-83.70959554,233.396
1632492876,570151284,8.150381565,42.29527495,-83.70959595,233.383
1632492876,620290131,8.200520277,42.29527498,-83.70959607,233.376
1632492876,673080053,8.253310204,42.29527449,-83.70959631,232.96
1632492876,719189136,8.299419403,42.29528729,-83.70959553,235.965
1632492876,768913673,8.349143982,42.29528773,-83.70959559,236.021
1632492876,819066746,8.399296999,42.29528785,-83.70959566,236.009
1632492876,869007481,8.449237823,42.29528742,-83.70959544,235.942
1632492876,918771247,8.499001503,42.29528842,-83.70959605,236.237
1632492876,968753157,8.548983335,42.29528811,-83.70959593,236.035
1632492877,18709887,8.598940134,42.29528847,-83.70959603,236.038
1632492877,68794617,8.649024963,42.29528897,-83.70959666,236.129
1632492877,118597266,8.698827505,42.29529039,-83.70959757,236.474
1632492877,169527784,8.749758005,42.29529086,-83.70959761,236.475
1632492877,218654244,8.798884392,42.29529121,-83.70959769,236.5
1632492877,268408187,8.848638535,42.29529067,-83.70959712,236.666
1632492877,311383036,8.891613245,NaN,NaN,NaN
1632492877,369358738,8.949589014,42.29529035,-83.70959697,236.438
1632492877,418316423,8.9985466,42.29529078,-83.70959758,236.351
1632492877,469240345,9.049470663,42.29529196,-83.70959868,236.28
1632492877,519202313,9.099432468,42.295292,-83.70959878,236.083
1632492877,569176690,9.14940691,42.29529214,-83.70959887,235.992
1632492877,619125505,9.199355841,42.29529257,-83.70959884,235.947
1632492877,671044336,9.251274586,42.29529314,-83.70959892,235.972
1632492877,719184226,9.299414396,42.29529491,-83.70960159,235.317
1632492877,768956531,9.349186659,42.29529503,-83.70960185,235.307
1632492877,818839580,9.399069786,42.29529518,-83.70960194,235.284
1632492877,868807589,9.44903779,42.29529574,-83.70960208,235.22
1632492877,918776410,9.499006748,42.29529446,-83.70960125,234.542
1632492877,968745274,9.548975468,42.29529498,-83.70960183,234.612
1632492878,18681682,9.598912001,42.29529524,-83.70960229,234.583
1632492878,68581590,9.648811817,42.29529772,-83.70960359,235.325
1632492878,118557094,9.698787212,42.29529817,-83.70960378,235.344
1632492878,169699853,9.749930143,42.29529864,-83.70960415,235.391
1632492878,218570080,9.79880023,42.29529889,-83.70960416,235.417
1632492878,268392391,9.848622561,42.29529955,-83.70960449,235.351
1632492878,318272795,9.898503065,42.29530007,-83.70960453,235.431
1632492878,369230317,9.949460506,42.29529897,-83.70960427,234.835
1632492878,419390542,9.999620676,42.29529951,-83.7096048,234.779
1632492878,469346161,10.04957628,42.2953003,-83.70960511,234.853
1632492878,519124053,10.09935427,42.29530102,-83.70960559,234.934
1632492878,568999075,10.14922929,42.29530138,-83.70960561,234.885
1632492878,619093627,10.19932389,42.29530157,-83.70960564,234.833
1632492878,671885612,10.25211596,42.29530151,-83.70960555,234.603
1632492878,718824071,10.29905438,42.295302,-83.70960574,234.676
1632492878,768840030,10.34907031,42.29530252,-83.70960611,234.757
1632492878,818930944,10.3991611,42.29530261,-83.7096063,234.601
1632492878,868666065,10.44889641,42.29529592,-83.70960313,232.17
1632492878,918843339,10.49907351,42.29529618,-83.70960306,232.07
1632492878,968605379,10.54883552,42.29529649,-83.70960277,232.076
1632492879,18555877,10.59878612,42.29529658,-83.70960273,232.072
1632492879,70620541,10.65085077,42.29529493,-83.70960196,231.678
1632492879,118461347,10.69869161,42.2952948,-83.70960209,231.677
1632492879,169464524,10.74969482,42.29529492,-83.70960203,231.717
1632492879,219516539,10.79974675,42.29529534,-83.70960186,231.747
1632492879,269268825,10.84949899,42.29530532,-83.70960862,232.923
1632492879,319229986,10.89946032,42.29530797,-83.70961066,232.798
1632492879,369380473,10.94961071,42.29530991,-83.7096122,232.684
1632492879,419286004,10.99951625,42.29530985,-83.70961184,232.705
1632492879,469140667,11.049371,42.29532147,-83.70962507,228.993
1632492879,519024678,11.09925485,42.29532506,-83.70962825,228.829
1632492879,569007530,11.14923787,42.29532695,-83.7096298,228.726
1632492879,618945043,11.19917536,42.29532779,-83.70963033,228.662
1632492879,672046554,11.2522769,42.29531696,-83.70961734,232.485
1632492879,718814345,11.29904461,42.29531694,-83.70961734,232.469
1632492879,768972562,11.34920287,42.29530969,-83.70961078,232.998
1632492879,818806385,11.39903665,42.29530983,-83.70961079,232.993
1632492879,868712086,11.44894242,42.29529951,-83.70959857,236.538
1632492879,918663877,11.49889421,42.29530593,-83.70960416,236.203
1632492879,969682075,11.54991221,42.29531513,-83.70961258,235.561
1632492880,18583031,11.5988133,42.29531547,-83.70961275,235.542
1632492880,68451969,11.64868212,42.29531051,-83.70960913,234.873
1632492880,118579037,11.69880939,42.29531077,-83.70960922,234.853
