Sec,NanoSec,0-ref Sec,w_left,w_right
1632492880,416308313,11.59393787,6.056935191,6.056935191
1632492880,516090874,11.69372034,3.089036947,6.056935191
1632492880,625468379,11.80309796,2.725620836,6.056935191
1632492880,724401210,11.90203071,2.422774076,5.996365839
1632492880,823387266,12.00101686,1.998788613,6.056935191
1632492880,922445892,12.10007524,2.84675954,6.056935191
1632492881,21261167,12.19889069,3.634161114,6.056935191
1632492881,120377465,12.29800701,5.027256208,6.056935191
1632492881,220122747,12.39775229,3.937007874,6.056935191
1632492881,318287714,12.49591708,3.391883707,6.056935191
1632492881,418107965,12.59573746,4.784978801,6.056935191
1632492881,516823000,12.69445252,5.572380376,6.056935191
1632492881,616149438,12.7937789,6.056935191,6.056935191
1632492881,725647163,12.90327668,6.056935191,6.056935191
1632492881,824403210,13.00203276,6.056935191,6.056935191
1632492881,923548052,13.10117745,6.056935191,5.330102968
1632492882,22501529,13.20013094,6.056935191,5.511811024
1632492882,123152394,13.30078197,6.056935191,3.937007874
1632492882,220252782,13.39788222,6.056935191,3.573591763
1632492882,320215897,13.49784541,6.056935191,6.056935191
1632492882,418273663,13.59590316,6.056935191,6.056935191
1632492882,518232047,13.69586158,6.056935191,5.511811024
1632492882,617140192,13.79476976,6.056935191,6.056935191
1632492882,716040981,13.89367056,4.784978801,6.056935191
1632492882,825821073,14.00345063,6.056935191,6.056935191
1632492882,924652886,14.10228229,6.056935191,6.056935191
1632492883,23292445,14.20092201,6.056935191,4.542701393
1632492883,122496427,14.30012584,6.056935191,4.058146578
1632492883,221262553,14.39889193,6.056935191,5.330102968
1632492883,321215128,14.49884462,6.056935191,6.056935191
1632492883,420261002,14.59789038,6.056935191,5.330102968
1632492883,518317043,14.69594646,6.056935191,6.056935191
1632492883,617266373,14.79489589,6.056935191,6.056935191
1632492883,717178327,14.89480782,6.056935191,5.511811024
1632492883,815968782,14.99359822,6.056935191,4.966686856
1632492883,925500031,15.10312939,6.056935191,3.997577226
1632492884,24518129,15.20214748,6.056935191,3.937007874
1632492884,123300689,15.30093026,6.056935191,4.179285282
1632492884,222292335,15.39992189,6.056935191,5.39067232
1632492884,321314911,15.49894428,6.056935191,6.056935191
1632492884,420267491,15.59789705,6.056935191,6.056935191
1632492884,519283024,15.69691253,6.056935191,6.056935191
1632492884,619188144,15.79681754,6.056935191,6.056935191
1632492884,718109187,15.8957386,6.056935191,6.056935191
1632492884,817081659,15.99471116,6.056935191,6.056935191
1632492884,916134198,16.09376359,6.056935191,6.056935191
1632492885,25629493,16.20325899,2.84675954,6.056935191
1632492885,124775669,16.30240512,3.634161114,3.634161114
1632492885,223508600,16.40113807,1.817080557,1.817080557
1632492885,322369416,16.49999881,-1.938219261,1.938219261
1632492885,421264395,16.59889388,-1.998788613,5.632949727
1632492885,520279972,16.69790936,0.847970927,6.056935191
1632492885,619259792,16.79688931,4.542701393,6.056935191
1632492885,719200680,16.89683008,6.056935191,4.179285282
1632492885,818204666,16.99583411,4.179285282,4.179285282
1632492885,917107866,17.09473729,5.996365839,5.996365839
1632492886,16047008,17.19367647,6.056935191,6.056935191
1632492886,125582409,17.30321193,6.056935191,6.056935191
1632492886,224717616,17.40234709,6.056935191,6.056935191
1632492886,323401964,17.5010314,4.239854634,4.239854634
1632492886,422551830,17.60018134,2.362204724,2.362204724
1632492886,522329635,17.69995904,0.605693519,0.605693519
1632492886,620341031,17.79797053,0,0
1632492886,719268167,17.89689755,1.695941853,1.695941853
1632492886,819238141,17.99686766,3.573591763,3.573591763
1632492886,918209333,18.09583879,5.39067232,5.39067232
1632492887,17232353,18.19486189,6.056935191,6.056935191
1632492887,116259442,18.29388881,4.239854634,4.239854634
1632492887,225486013,18.40311551,2.422774076,2.422774076
1632492887,324600657,18.50223017,4.179285282,4.179285282
1632492887,423446812,18.60107636,5.996365839,5.996365839
1632492887,522407947,18.70003748,6.056935191,4.542701393
1632492887,621413334,18.7990427,6.056935191,2.665051484
1632492887,720291125,18.89792061,6.056935191,3.089036947
1632492887,820397372,18.99802685,5.996365839,2.422774076
1632492887,919126047,19.0967555,6.056935191,1.393095094
1632492888,18226946,19.19585633,5.996365839,3.210175651
1632492888,117011821,19.29464126,6.056935191,5.027256208
1632492888,216056378,19.39368582,6.056935191,2.665051484
1632492888,325641876,19.50327134,6.056935191,3.573591763
1632492888,424470957,19.60210037,6.056935191,6.056935191
1632492888,523542076,19.70117164,6.056935191,6.056935191
1632492888,622371577,19.80000114,6.056935191,6.056935191
1632492888,722436439,19.9000659,4.542701393,6.056935191
1632492888,821322458,19.99895191,2.967898243,6.056935191
1632492888,919359418,20.09698892,2.786190188,6.056935191
1632492889,19314152,20.19694352,2.059357965,6.056935191
1632492889,118187661,20.29581714,2.483343428,6.056935191
1632492889,217100866,20.39473033,4.966686856,6.056935191
1632492889,315998176,20.49362755,6.056935191,6.056935191
1632492889,425430536,20.60306001,6.056935191,6.056935191
1632492889,524687135,20.70231652,6.056935191,6.056935191
1632492889,623437359,20.80106688,6.056935191,6.056935191
1632492889,723409704,20.90103912,6.056935191,6.056935191
1632492889,821349235,20.99897861,5.39067232,6.056935191
1632492889,920406409,21.09803581,6.056935191,6.056935191
1632492890,20236345,21.19786572,6.056935191,6.056935191
1632492890,118359768,21.29598927,6.056935191,6.056935191
1632492890,218251723,21.39588118,5.996365839,6.056935191
1632492890,317117922,21.4947474,6.056935191,6.056935191
1632492890,416139294,21.59376884,5.693519079,6.056935191
1632492890,525632843,21.70326233,4.845548153,6.056935191
1632492890,624513693,21.8021431,4.724409449,6.056935191
1632492890,724341981,21.90197134,3.997577226,6.056935191
1632492890,822484683,22.0001142,4.058146578,6.056935191
1632492890,922268748,22.0998981,5.572380376,6.056935191
1632492891,21334479,22.19896388,6.056935191,6.056935191
1632492891,120379126,22.29800868,6.056935191,6.056935191
1632492891,219408800,22.39703822,6.056935191,6.056935191
1632492891,318176407,22.49580598,6.056935191,4.966686856
1632492891,417216238,22.59484577,6.056935191,4.724409449
1632492891,516128985,22.69375849,6.056935191,4.482132041
1632492891,625591336,22.80322075,6.056935191,2.84675954
1632492891,725010522,22.9026401,6.056935191,3.755299818
1632492891,823436682,23.00106621,6.056935191,6.056935191
1632492891,923355403,23.10098481,6.056935191,6.056935191
1632492892,22378601,23.20000815,6.056935191,6.056935191
1632492892,121452553,23.29908204,5.39067232,6.056935191
1632492892,220379832,23.3980093,4.784978801,6.056935191
1632492892,319220834,23.49685025,4.542701393,6.056935191
1632492892,418092569,23.59572196,6.056935191,6.056935191
1632492892,516413904,23.6940434,6.056935191,5.330102968
1632492892,616025252,23.79365468,6.056935191,5.511811024
1632492892,725574354,23.90320373,6.056935191,6.056935191
1632492892,824543521,24.00217295,6.056935191,6.056935191
1632492892,923467453,24.10109687,6.056935191,6.056935191
1632492893,22418939,24.20004845,6.056935191,6.056935191
1632492893,121467911,24.2990973,6.056935191,6.056935191
1632492893,221384701,24.39901423,6.056935191,6.056935191
1632492893,320334089,24.49796367,6.056935191,6.056935191
1632492893,419274251,24.5969038,4.179285282,4.179285282
1632492893,518229175,24.69585872,2.422774076,2.422774076
1632492893,617193771,24.79482317,0.545124167,0.545124167
1632492893,716061915,24.8936913,0,0
1632492893,825843255,25.00347281,1.695941853,1.695941853
1632492893,924717351,25.1023469,3.573591763,3.573591763
1632492894,24464146,25.2020936,5.39067232,5.39067232
1632492894,123381177,25.30101061,6.056935191,5.693519079
1632492894,222344382,25.39997387,6.056935191,2.907328892
1632492894,321348670,25.49897814,6.056935191,4.724409449
1632492894,420437850,25.59806728,6.056935191,6.056935191
1632492894,519377753,25.69700718,6.056935191,6.056935191
1632492894,618112285,25.7957418,6.056935191,6.056935191
1632492894,717263417,25.89489293,6.056935191,6.056935191
1632492894,815988199,25.99361777,6.056935191,6.056935191
1632492894,925577958,26.10320735,6.056935191,6.056935191
1632492895,24655934,26.20228529,6.056935191,6.056935191
1632492895,123541771,26.3011713,6.056935191,6.056935191
1632492895,222418359,26.40004778,4.179285282,4.179285282
1632492895,322254965,26.49988437,2.422774076,2.422774076
1632492895,421195977,26.59882545,4.239854634,4.239854634
1632492895,520238467,26.69786787,6.056935191,6.056935191
1632492895,619186163,26.79681563,6.056935191,6.056935191
1632492895,718197158,26.89582658,4.239854634,4.239854634
1632492895,817215789,26.99484515,2.422774076,2.422774076
1632492895,916058251,27.09368777,0.545124167,0.545124167
1632492896,25953201,27.20358276,0.726832223,0.726832223
1632492896,124683878,27.30231333,2.54391278,2.54391278
1632492896,223453091,27.40108252,4.360993337,4.360993337
1632492896,323406133,27.50103569,6.056935191,6.056935191
1632492896,422371162,27.60000062,4.179285282,4.179285282
1632492896,521360440,27.69898987,2.362204724,2.362204724
1632492896,620361911,27.79799128,0.545124167,0.545124167
1632492896,719058465,27.89668798,0,0
1632492896,818038992,27.99566841,-0.121138704,3.755299818
1632492896,916986488,28.09461594,0.423985463,6.056935191
1632492897,16038332,28.19366789,0.545124167,6.056935191
1632492897,125557516,28.30318689,-0.666262871,5.996365839
1632492897,225455051,28.40308452,-0.726832223,4.360993337
1632492897,323410605,28.50103998,-2.180496669,6.056935191
1632492897,422569566,28.60019898,-0.060569352,5.996365839
1632492897,522414232,28.70004368,1.877649909,5.996365839
1632492897,620931427,28.79856086,4.239854634,6.056935191
1632492897,720270194,28.89789963,6.056935191,5.875227135
