Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492880,502133504,11.78589296,-1.597696624,2.554166597,-9.149458011,-0.322202802,0.535603821,0.00651811
1632492880,512145152,11.7959044,-1.275718586,2.451730012,-8.625388544,-0.361535758,0.538806498,-0.013244281
1632492880,522158592,11.80591798,-0.785108248,2.609889068,-8.986194033,-0.395041585,0.534895062,-0.027575161
1632492880,532173824,11.81593323,-0.474489736,2.988490618,-9.118711575,-0.417046189,0.536915064,-0.050858799
1632492880,542185216,11.82594466,-0.262417942,3.231129454,-9.365380981,-0.403919995,0.539375126,-0.095148519
1632492880,552198656,11.835958,-0.09277515,3.468542957,-9.803548527,-0.358500004,0.545803487,-0.163845316
1632492880,562213888,11.84597325,0.225919153,3.509178334,-9.778849554,-0.291949272,0.543642163,-0.240390673
1632492880,572225280,11.85598469,0.582701871,3.574211362,-9.351087083,-0.224295527,0.548730195,-0.318799675
1632492880,582238976,11.86599827,0.855962238,3.977076708,-8.897287669,-0.181552693,0.547381222,-0.395966947
1632492880,592254464,11.87601376,0.913863296,4.171343435,-8.436072425,-0.156050727,0.550946176,-0.467687905
1632492880,602265600,11.88602495,1.021135484,4.291043874,-8.357201133,-0.14095217,0.551308811,-0.532907903
1632492880,612278784,11.89603806,1.133722071,4.54924765,-9.052156744,-0.132184774,0.55615747,-0.583888888
1632492880,622294016,11.9060533,1.134100184,4.607206211,-9.782104757,-0.122645363,0.554874182,-0.604643047
1632492880,632305152,11.9160645,1.170371009,4.43182334,-10.56931078,-0.092396185,0.560084105,-0.607578576
1632492880,642318336,11.9260776,1.117221603,4.405482738,-10.70974567,-0.05280441,0.560420454,-0.614624858
1632492880,652333568,11.93609285,0.879720495,4.378482503,-10.53521211,-0.000396337,0.567790866,-0.633183181
1632492880,662344960,11.94610429,0.552497762,4.112847115,-10.04571127,0.040377527,0.566854,-0.655803144
1632492880,672358400,11.95611787,0.110204077,3.804259012,-9.478507594,0.069496751,0.572479069,-0.676008642
1632492880,682373632,11.96613288,0.002604337,3.551972058,-8.813688179,0.097751006,0.572029829,-0.691320181
1632492880,692384768,11.97614408,0.314216208,3.290432999,-8.021385124,0.117953226,0.580817699,-0.715926468
1632492880,702397696,11.98615694,0.265287762,3.102788321,-7.265090371,0.156031683,0.580676734,-0.750346005
1632492880,712412928,11.99617219,0.109663741,2.896730326,-7.166795417,0.198162064,0.586665154,-0.796636462
1632492880,722424320,12.00618362,0.292082848,2.72493116,-7.015512384,0.239581689,0.583292842,-0.847364306
1632492880,732437248,12.01619649,0.322538667,2.580712658,-6.752039727,0.287102669,0.584386408,-0.892867625
1632492880,744450304,12.02820969,0.429568607,2.263002799,-7.089272617,0.344177842,0.579600215,-0.932254672
1632492880,754465536,12.03822494,0.47052496,1.946205087,-7.491386852,0.389147401,0.580711603,-0.952813685
1632492880,764476928,12.04823637,0.344763505,1.671501572,-7.647395744,0.425807327,0.573665619,-0.955992997
1632492880,774489856,12.05824924,0.328850189,1.364527773,-8.374609364,0.464678049,0.574883938,-0.935957968
1632492880,784505088,12.06826448,0.235037512,1.11112599,-9.431946919,0.474824995,0.575628936,-0.899695992
1632492880,794522112,12.0782814,-0.299916647,0.848932193,-10.43751279,0.482225597,0.582177281,-0.850047171
1632492880,804535040,12.08829451,-0.999984267,0.741179674,-11.62479248,0.488521099,0.582843781,-0.804150522
1632492880,814550272,12.09830952,-1.998748052,0.912796982,-12.47754913,0.476146311,0.585244834,-0.769567609
1632492880,824561408,12.10832071,-2.568252697,1.313255851,-12.19729777,0.466402471,0.583321691,-0.746563911
1632492880,834574592,12.11833405,-2.640389713,1.214686683,-11.26926639,0.451765448,0.581791282,-0.739883721
1632492880,844589824,12.12834907,-2.692533449,1.036167414,-10.77509054,0.417083621,0.575264156,-0.735596716
1632492880,854600960,12.13836026,-2.669804608,0.826340057,-10.37808444,0.374880463,0.572474599,-0.718245625
1632492880,864614144,12.1483736,-2.654266847,0.347340406,-10.61779103,0.304056972,0.568183362,-0.689432561
1632492880,874629376,12.15838861,-2.581807468,-0.059439214,-10.81540034,0.224022985,0.565026522,-0.646697879
1632492880,884640512,12.16839981,-2.303813825,-0.942619069,-10.66481231,0.161500111,0.559241533,-0.596742809
1632492880,894653440,12.17841291,-1.779560673,-1.876661157,-10.55040968,0.109650105,0.558490098,-0.539398909
1632492880,904668160,12.18842745,-1.14951841,-2.088783274,-9.743825003,0.084417321,0.554759443,-0.487917751
1632492880,914679040,12.19843841,-0.415963495,-2.288277088,-9.305520095,0.092182785,0.555717349,-0.45168519
1632492880,924692224,12.20845151,-0.28299894,-2.318609097,-9.338774714,0.106782094,0.556736708,-0.428315073
1632492880,934707200,12.21846652,-0.429400411,-1.950448131,-9.694946113,0.12031924,0.55415982,-0.414704353
1632492880,944718080,12.22847748,-0.604044629,-1.702297108,-10.14736196,0.127606675,0.553025365,-0.407102942
1632492880,954731008,12.23849034,-0.788476263,-1.311042413,-10.33005779,0.106518216,0.551727355,-0.405740231
1632492880,964745728,12.24850512,-0.710808209,-0.946042614,-10.59491752,0.06947545,0.551981688,-0.409166753
1632492880,974756352,12.2585156,-0.629949762,-1.141195549,-10.66254553,0.029716661,0.551671743,-0.410631806
1632492880,984769024,12.26852846,-0.612033728,-1.54262151,-10.5926788,-0.005078865,0.554423809,-0.404810995
1632492880,994783744,12.278543,-0.561623756,-1.588259372,-10.55296053,-0.034057524,0.551200747,-0.400841832
1632492881,4800256,12.28855968,-0.843440902,-1.6677694,-10.57390278,-0.05885962,0.55266118,-0.398872733
1632492881,14813184,12.29857254,-1.268666768,-1.416390793,-10.40429674,-0.084944859,0.549412251,-0.38855806
1632492881,24827904,12.30858731,-1.413012695,-1.213218217,-9.88299908,-0.111253351,0.550036371,-0.376539111
1632492881,34838784,12.31859803,-1.122262447,-1.267670012,-9.313623322,-0.129574329,0.544420063,-0.368107885
1632492881,44851712,12.32861114,-0.816555818,-1.180193315,-8.619303671,-0.127992809,0.547897935,-0.366609544
1632492881,54866176,12.33862543,-0.541483689,-1.195228533,-8.315803539,-0.095088214,0.548694849,-0.369593024
1632492881,64877056,12.34863639,-0.469795733,-1.583122155,-8.54051012,-0.046988804,0.551297009,-0.361972123
1632492881,74889472,12.35864878,-0.535528872,-1.556698989,-9.141467012,0.012561701,0.553445578,-0.352911055
1632492881,84904448,12.36866379,-0.790016332,-1.166189705,-10.37817797,0.072437391,0.554123998,-0.341917276
1632492881,94915072,12.37867451,-1.122415884,-1.075188049,-11.1288654,0.111862049,0.553178012,-0.321231097
1632492881,104927488,12.3886869,-1.210955899,-1.005754886,-11.63078733,0.133043244,0.550577462,-0.287539899
1632492881,114942464,12.39870191,-0.946091202,-0.769208668,-11.43399635,0.139497578,0.542950511,-0.249692395
1632492881,124953088,12.40871239,-0.360059566,-0.348010743,-10.74835217,0.110899732,0.543958127,-0.21594885
1632492881,134965760,12.41872501,0.229378664,0.276299515,-10.01402434,0.068124615,0.539093316,-0.189113542
1632492881,144979968,12.42873931,0.476600225,0.820125931,-9.663746673,0.014756011,0.540035129,-0.180244744
1632492881,154990336,12.43874979,0.385403923,1.271623864,-9.896743528,-0.05832839,0.538080931,-0.190491945
1632492881,165003008,12.44876242,0.406978298,1.321577251,-9.565288637,-0.110634401,0.537704825,-0.211025804
1632492881,175017728,12.45877719,0.461293533,1.48556136,-9.893866511,-0.153835386,0.534831226,-0.23206374
1632492881,185028608,12.46878791,0.663807316,1.543010071,-10.05473512,-0.163099423,0.538226604,-0.257018626
1632492881,195041024,12.4788003,0.664487845,1.417712105,-10.08770449,-0.107382804,0.543102145,-0.278463423
