Sec,NanoSec,v_x,v_y,v_z,w_x,w_y,w_z
1632492871,516051292.4,-0.000472743,-0.000494756,0.011461102,3.47E-17,1.67E-15,0
1632492871,549250125.9,-0.000102246,-0.000257984,0.005688737,3.49E-17,1.68E-15,0
1632492871,582646131.5,-0.000279076,-0.000166014,0.004085778,3.43E-17,1.65E-15,0
1632492871,616107702.3,-0.001229978,-6.19E-05,0.003767941,3.48E-17,1.67E-15,0
1632492871,649236202.2,-0.001139425,-8.65E-05,0.004109668,3.50E-17,1.68E-15,0
1632492871,682494640.4,0.000302283,-0.000193606,0.003513814,3.45E-17,1.66E-15,0
1632492871,716069221.5,-0.000932071,-4.83E-05,0.00288392,3.44E-17,1.65E-15,0
1632492871,749448776.2,-0.001392349,2.75E-05,0.002189444,3.49E-17,1.68E-15,0
1632492871,782700300.2,-0.000211018,-3.86E-05,0.001241252,3.46E-17,1.66E-15,0
1632492871,816059827.8,-0.000287495,-0.000148051,0.003720663,3.47E-17,1.67E-15,0
1632492871,849329948.4,-6.83E-05,-0.000165275,0.003650057,3.48E-17,1.67E-15,0
1632492871,882639884.9,5.74E-05,-0.000126388,0.002572728,3.46E-17,1.66E-15,0
1632492871,916039705.3,9.33E-05,-9.84E-05,0.001906459,3.46E-17,1.66E-15,0
1632492871,949371337.9,0.000407091,-0.000107586,0.001476067,3.48E-17,1.67E-15,0
1632492871,982648849.5,0.000206299,-9.97E-05,0.001708723,3.47E-17,1.67E-15,0
1632492872,16031742.1,0.000297308,-0.000135042,0.002278602,3.45E-17,1.66E-15,0
1632492872,49301147.46,0.000559246,-4.21E-05,-0.000220139,3.50E-17,1.68E-15,0
1632492872,82601308.82,0.00049507,-2.35E-05,-0.000487716,3.45E-17,1.66E-15,0
1632492872,116021156.3,0.000512217,-4.10E-05,-0.000148705,3.47E-17,1.67E-15,0
1632492872,149327755,0.000652778,-7.30E-05,0.000251887,3.47E-17,1.67E-15,0
1632492872,182639122,0.000557774,-6.00E-05,0.000163766,3.47E-17,1.67E-15,0
1632492872,215952873.2,0.000991174,-1.93E-05,-0.001564416,3.47E-17,1.67E-15,0
1632492872,249429225.9,0.000484033,2.32E-05,-0.001458491,3.44E-17,1.65E-15,0
1632492872,282738208.8,0.000797037,-4.30E-05,-0.000674927,3.51E-17,1.68E-15,0
1632492872,315965175.6,0.00054088,-4.50E-05,-0.000121165,3.45E-17,1.66E-15,0
1632492872,349497318.3,-0.000279424,1.17E-05,0.000308875,3.44E-17,1.65E-15,0
1632492872,382733345,-0.00048802,4.13E-05,9.36E-05,3.52E-17,1.69E-15,0
1632492872,416018724.4,-0.000400106,-4.67E-06,0.000896626,3.43E-17,1.65E-15,0
1632492872,449448108.7,-0.000516409,2.32E-05,0.000535803,3.49E-17,1.67E-15,0
1632492872,482614040.4,2.49E-05,3.07E-05,-0.000703108,3.49E-17,1.67E-15,0
1632492872,516039371.5,-0.000279722,1.67E-05,0.000201708,3.43E-17,1.65E-15,0
1632492872,549518108.4,-0.000666686,8.36E-05,-0.000449295,3.48E-17,1.67E-15,0
1632492872,582705736.2,-0.000871627,9.96E-05,-0.000380381,3.49E-17,1.68E-15,0
1632492872,616091251.4,-0.000524871,5.77E-05,-0.000181675,3.44E-17,1.65E-15,0
1632492872,649525642.4,-6.91E-05,1.47E-05,-0.000174902,3.48E-17,1.67E-15,0
1632492872,682696342.5,0.000111423,2.17E-05,-0.000682631,3.49E-17,1.68E-15,0
1632492872,716016769.4,0.000116565,2.09E-05,-0.000675637,3.45E-17,1.66E-15,0
1632492872,749430179.6,-0.000522584,6.66E-05,-0.000374794,3.47E-17,1.67E-15,0
1632492872,782761573.8,0.000175965,1.00E-06,-0.000371954,3.47E-17,1.66E-15,0
1632492872,816061735.2,-0.000693901,-4.05E-06,0.001469016,3.48E-17,1.67E-15,0
1632492872,849372863.8,-0.000821513,1.28E-05,0.001364545,3.47E-17,1.66E-15,0
1632492872,899272918.7,0.001062195,-0.000134832,0.000749791,1.74E-17,8.36E-16,0
1632492872,949270248.4,0.001523456,-0.00018351,0.000865457,3.45E-17,1.65E-15,0
1632492872,982812643.1,0.001419412,-0.000141088,0.000170887,3.45E-17,1.66E-15,0
1632492873,16051769.26,0.001903414,-0.000161973,-0.000349653,3.51E-17,1.68E-15,0
1632492873,49403667.45,0.001109242,-8.63E-05,-0.000375867,3.43E-17,1.64E-15,0
1632492873,82869052.89,0.000970079,-7.73E-05,-0.000289974,3.49E-17,1.67E-15,0
1632492873,115995645.5,0.001308899,-0.000120232,-5.23E-05,3.50E-17,1.68E-15,0
1632492873,149306774.1,0.001188886,-0.000104512,-0.000147339,3.45E-17,1.65E-15,0
1632492873,182739257.8,0.000947627,-8.58E-05,-6.34E-05,3.47E-17,1.67E-15,0
1632492873,216049671.2,0.000951619,-0.000108151,0.000402894,3.47E-17,1.67E-15,0
1632492873,249357223.5,0.000513173,-8.03E-05,0.00068348,3.47E-17,1.67E-15,0
1632492873,282742738.7,0.00039647,-7.75E-05,0.000858041,3.46E-17,1.66E-15,0
1632492873,316078186,-0.001139614,2.30E-05,0.001781226,3.48E-17,1.67E-15,0
1632492873,349370956.4,-0.001766508,7.23E-05,0.001982895,3.47E-17,1.66E-15,0
1632492873,382845878.6,-0.001475461,5.76E-05,0.001715297,3.44E-17,1.65E-15,0
1632492873,416116237.6,-0.001345969,5.22E-05,0.001572699,3.51E-17,1.68E-15,0
1632492873,449419736.9,-0.001192206,4.62E-05,0.00139401,3.44E-17,1.65E-15,0
1632492873,482836723.3,-0.001093532,4.24E-05,0.001278757,3.48E-17,1.67E-15,0
1632492873,516025781.6,-0.000990087,3.84E-05,0.001157806,3.48E-17,1.67E-15,0
1632492873,549343109.1,-0.000889134,3.44E-05,0.001039752,3.46E-17,1.66E-15,0
1632492873,582842350,-0.000802493,3.11E-05,0.000938435,3.45E-17,1.65E-15,0
1632492873,616142749.8,-0.000737305,2.86E-05,0.000862205,3.50E-17,1.68E-15,0
1632492873,649281263.4,-0.000663975,2.57E-05,0.000776452,3.48E-17,1.67E-15,0
1632492873,682657718.7,-0.000595573,2.31E-05,0.000696463,3.45E-17,1.66E-15,0
1632492873,716614246.4,-0.000525708,2.04E-05,0.000614762,3.36E-17,1.61E-15,0
1632492873,749874591.8,-0.000509145,1.97E-05,0.000595394,3.60E-17,1.73E-15,0
1632492873,782670259.5,-0.000442741,1.71E-05,0.000517741,3.46E-17,1.66E-15,0
1632492873,816136837,-0.000400472,1.55E-05,0.000468312,3.45E-17,1.66E-15,0
1632492873,849441766.7,-0.000366316,1.42E-05,0.00042837,3.49E-17,1.68E-15,0
1632492873,882717609.4,-0.000328718,1.27E-05,0.000384403,3.46E-17,1.66E-15,0
1632492873,916153669.4,-0.000297288,1.15E-05,0.000347649,3.46E-17,1.66E-15,0
1632492873,949367046.4,-0.000272985,1.06E-05,0.000319229,3.51E-17,1.68E-15,0
1632492873,982688188.6,-0.000242042,9.38E-06,0.000283044,3.44E-17,1.65E-15,0
1632492874,16185283.66,-0.000221321,8.57E-06,0.000258812,3.47E-17,1.67E-15,0
1632492874,49484252.93,-0.000200691,7.77E-06,0.000234688,3.48E-17,1.67E-15,0
1632492874,82847118.38,-0.000180656,7.00E-06,0.000211259,3.46E-17,1.66E-15,0
1632492874,116275310.5,-0.000163805,6.34E-06,0.000191554,3.46E-17,1.66E-15,0
1632492874,149431228.6,-0.000150477,5.83E-06,0.000175967,3.51E-17,1.69E-15,0
1632492874,182696819.3,-0.000133348,5.17E-06,0.000155937,3.44E-17,1.65E-15,0
1632492874,216266632.1,-0.000121061,4.69E-06,0.000141568,3.45E-17,1.66E-15,0
1632492874,249611377.7,-0.000110751,4.29E-06,0.000129512,3.49E-17,1.67E-15,0
1632492874,299486637.1,-4.99E-05,1.93E-06,5.84E-05,1.74E-17,8.34E-16,0
1632492874,349482059.5,-9.01E-05,3.49E-06,0.00010536,3.46E-17,1.66E-15,0
1632492874,382750034.3,-8.22E-05,3.19E-06,9.62E-05,3.49E-17,1.68E-15,0
1632492874,416062355,-7.36E-05,2.85E-06,8.61E-05,3.45E-17,1.66E-15,0
1632492874,449548244.5,-6.67E-05,2.58E-06,7.80E-05,3.45E-17,1.66E-15,0
1632492874,482877254.5,-6.09E-05,2.36E-06,7.12E-05,3.49E-17,1.67E-15,0
1632492874,516179323.2,-5.47E-05,2.12E-06,6.40E-05,3.46E-17,1.66E-15,0
1632492874,566164255.1,-2.49E-05,9.64E-07,2.91E-05,1.74E-17,8.34E-16,0
1632492874,616143703.5,-4.49E-05,1.74E-06,5.25E-05,3.46E-17,1.66E-15,0
1632492874,649528741.8,-4.07E-05,1.58E-06,4.76E-05,3.47E-17,1.66E-15,0
1632492874,682747840.9,-3.71E-05,1.44E-06,4.34E-05,3.50E-17,1.68E-15,0
1632492874,716126203.5,-3.30E-05,1.28E-06,3.86E-05,3.43E-17,1.65E-15,0
1632492874,749633789.1,-3.02E-05,1.17E-06,3.53E-05,3.47E-17,1.67E-15,0
1632492874,782790184,-2.76E-05,1.07E-06,3.23E-05,3.51E-17,1.68E-15,0
1632492874,816103696.8,-2.45E-05,9.49E-07,2.87E-05,3.44E-17,1.65E-15,0
1632492874,849600791.9,-2.24E-05,8.67E-07,2.62E-05,3.47E-17,1.66E-15,0
1632492874,882828712.5,-2.04E-05,7.90E-07,2.39E-05,3.49E-17,1.68E-15,0
1632492874,916160106.7,-1.82E-05,7.06E-07,2.13E-05,3.45E-17,1.65E-15,0
1632492874,949646234.5,-1.66E-05,6.42E-07,1.94E-05,3.46E-17,1.66E-15,0
1632492874,982976675,-0.000359688,4.03E-05,-0.000139884,3.48E-17,1.67E-15,0
1632492875,16189575.2,-0.00026721,4.68E-05,-0.000463136,3.48E-17,1.67E-15,0
1632492875,49463748.93,-0.000135952,3.52E-05,-0.000477974,3.47E-17,1.66E-15,0
1632492875,82938194.27,0.000176297,-2.47E-06,-0.000298906,3.44E-17,1.65E-15,0
1632492875,116269111.6,0.000305233,-2.97E-05,2.27E-05,3.50E-17,1.68E-15,0
1632492875,149488210.7,0.000480646,-5.54E-05,0.000220419,3.47E-17,1.66E-15,0
1632492875,182923793.8,-0.000407288,2.42E-05,0.000297424,3.45E-17,1.66E-15,0
1632492875,216207265.9,-0.000379327,1.55E-05,0.000425725,3.50E-17,1.68E-15,0
1632492875,249540805.8,-0.000151243,-1.56E-05,0.000633007,3.44E-17,1.65E-15,0
1632492875,283273696.9,-0.000515127,2.96E-05,0.000396317,3.42E-17,1.64E-15,0
1632492875,316448688.5,-0.000498424,2.96E-05,0.000364165,3.56E-17,1.71E-15,0
1632492875,349513292.3,-3.38E-05,-2.65E-05,0.00063006,3.44E-17,1.65E-15,0
1632492875,383026599.9,-0.000249036,1.19E-05,0.000243291,3.46E-17,1.66E-15,0
