t,X,Y,Z,qW,qX,qY,qZ
216.4,-0.197461878848666,-2.15188700956112,-0.13813962615289,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.4,-0.1974618787643,-2.1518870095103,-0.138139625958097,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.5,-0.197461878679935,-2.15188700945947,-0.138139625763304,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.5,-0.197461878595569,-2.15188700940864,-0.13813962556851,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.6,-0.197461878511204,-2.15188700935782,-0.138139625373717,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.6,-0.197461878426838,-2.15188700930699,-0.138139625178924,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.7,-0.197461878342473,-2.15188700925617,-0.13813962498413,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.7,-0.197461878263732,-2.15188700920873,-0.138139624802323,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.8,-0.197461878173742,-2.15188700915451,-0.138139624594544,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.8,-0.197461878100625,-2.15188700911047,-0.138139624425723,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.8,-0.197461878027509,-2.15188700906642,-0.138139624256902,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.9,-0.197461877948768,-2.15188700901898,-0.138139624075095,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
216.9,-0.197461877870027,-2.15188700897154,-0.138139623893288,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217,-0.197461877791286,-2.1518870089241,-0.13813962371148,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217,-0.197461877723793,-2.15188700888344,-0.138139623555646,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.1,-0.197461877639428,-2.15188700883262,-0.138139623360852,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.1,-0.197461877560687,-2.15188700878518,-0.138139623179045,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.2,-0.197461877481946,-2.15188700873774,-0.138139622997238,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.3,-0.197461877408829,-2.15188700869369,-0.138139622828417,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.3,-0.197461877330088,-2.15188700864625,-0.13813962264661,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.3,-0.197461877256971,-2.15188700860221,-0.138139622477789,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.4,-0.19746187717823,-2.15188700855477,-0.138139622295982,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.4,-0.197461877099489,-2.15188700850733,-0.138139622114175,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.5,-0.197461877031997,-2.15188700846667,-0.13813962195834,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.5,-0.197461876953256,-2.15188700841923,-0.138139621776533,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.6,-0.19746187686889,-2.15188700836841,-0.13813962158174,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.6,-0.197461876795773,-2.15188700832436,-0.138139621412919,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.7,-0.197461876733906,-2.15188700828708,-0.138139621270071,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
