id,t,w_l,w_r
e,56.9919023513794,6.05693519079346,6.05693519079346
e,57.0902848243713,6.05693519079346,6.05693519079346
e,57.2003543376923,6.05693519079346,6.05693519079346
e,57.2998218536377,5.81465778316172,5.81465778316172
e,57.3979876041412,5.81465778316172,5.81465778316172
e,57.4969491958618,5.57238037552998,6.05693519079346
e,57.5958857536316,6.05693519079346,6.05693519079346
e,57.69571185112,6.05693519079346,6.05693519079346
e,57.7939252853394,5.69351907934585,6.05693519079346
e,57.8936905860901,5.99636583888552,6.05693519079346
e,57.9924395084381,5.20896426408237,6.05693519079346
e,58.102175951004,4.23985463355542,6.05693519079346
e,58.3000438213348,2.60448213204119,6.05693519079346
e,58.3997128009796,0.605693519079346,6.05693519079346
e,58.5974514484406,5.26953361599031,5.26953361599031
e,58.6961045265198,6.05693519079346,6.05693519079346
e,58.7955527305603,6.05693519079346,6.05693519079346
e,58.8942155838013,6.05693519079346,6.05693519079346
e,58.9936482906342,6.05693519079346,6.05693519079346
e,59.0926187038422,6.05693519079346,6.05693519079346
e,59.1914641857147,6.05693519079346,6.05693519079346
e,59.2898442745209,6.05693519079346,5.99636583888552
e,59.4001269340515,6.05693519079346,4.78497880072683
e,59.4997310638428,6.05693519079346,4.78497880072683
e,59.5983529090881,6.05693519079346,4.78497880072683
e,59.6977243423462,6.05693519079346,4.78497880072683
e,59.7963285446167,6.05693519079346,5.69351907934585
e,59.8953008651733,6.05693519079346,5.57238037552998
e,59.9948282241821,6.05693519079346,5.57238037552998
e,60.0935883522034,6.05693519079346,5.69351907934585
e,60.2917060852051,5.69351907934585,5.69351907934585
e,60.3907968997955,5.81465778316172,5.81465778316172
e,60.5009255409241,5.69351907934585,5.69351907934585
e,60.5992622375488,5.02725620835857,5.02725620835857
e,60.6980118751526,5.45124167171411,5.45124167171411
e,60.797132730484,5.81465778316172,5.81465778316172
e,60.9078648090363,6.05693519079346,6.05693519079346
e,60.9951210021973,5.69351907934585,5.69351907934585
e,61.1050662994385,5.99636583888552,5.99636583888552
e,61.2922637462616,4.60327074500303,4.60327074500303
e,61.3916168212891,3.87643852210781,3.87643852210781
e,61.4902641773224,5.02725620835857,5.02725620835857
e,61.6004490852356,3.21017565112053,3.21017565112053
e,61.6994850635529,1.3930950938825,1.3930950938825
e,61.7979488372803,1.93821926105391,1.93821926105391
e,62.4034740924835,4.7244094488189,4.7244094488189
e,62.4913551807404,4.60327074500303,4.60327074500303
e,62.5901281833649,4.60327074500303,4.60327074500303
e,62.7002663612366,4.7244094488189,4.7244094488189
e,62.7995965480804,4.84554815263477,4.84554815263477
e,62.8987274169922,4.84554815263477,4.84554815263477
e,62.9978628158569,5.02725620835857,5.02725620835857
e,63.0985214710236,5.69351907934585,5.69351907934585
e,63.1958410739899,5.57238037552998,5.57238037552998
e,63.2944464683533,4.84554815263477,4.84554815263477
e,63.4926447868347,2.54391278013325,1.02967898243489
e,63.800213098526,2.72562083585706,0.605693519079346
e,63.8992557525635,2.24106602059358,2.24106602059358
e,63.9980254173279,2.66505148394912,2.66505148394912
e,64.0972080230713,3.75529981829194,3.75529981829194
e,64.1959612369537,4.48213204118716,4.48213204118716
e,64.2949504852295,4.7244094488189,4.7244094488189
e,64.4929647445679,2.66505148394912,2.66505148394912
e,64.592009305954,1.02967898243489,2.60448213204119
e,64.6914706230164,0.847970926711084,0.847970926711084
e,64.9008293151855,0.847970926711084,1.69594185342217
e,64.9990873336792,2.48334342822532,3.63416111447608
e,65.0979149341583,3.27074500302847,4.23985463355542
e,65.1975789070129,1.69594185342217,2.11992731677771
e,65.296618938446,2.36220472440945,2.66505148394912
e,65.4945886135101,2.36220472440945,2.66505148394912
e,65.5932610034943,2.42277407631738,3.1496062992126
e,65.6921398639679,2.36220472440945,2.66505148394912
e,65.7919445037842,1.69594185342217,1.69594185342217
e,65.8898978233337,2.66505148394912,2.66505148394912
e,66.0004997253418,3.87643852210781,3.87643852210781
e,66.0992870330811,5.45124167171411,5.45124167171411
e,66.1981103420258,5.26953361599031,5.26953361599031
e,66.3959078788757,2.90732889158086,2.90732889158086
e,66.498480796814,1.51423379769836,1.51423379769836
e,66.5948414802551,1.3930950938825,1.3930950938825
e,66.7929353713989,2.24106602059358,2.24106602059358
e,66.893406867981,2.24106602059358,2.24106602059358
