Sec,NanoSec,0-ref Sec,v_x,v_y,v_z,w_x,w_y,w_z
1633452057,577165126.8,63.43735456,-0.828140259,0.404773156,0.218191963,-0.011996319,-0.001594616,-0.018340113
1633452057,677156686.8,63.53734612,-0.934564423,0.445065552,0.261867707,-0.009255835,0.059189276,0.081660953
1633452057,727100372.3,63.58728981,-0.892175268,0.433613488,0.271558917,0.002633165,0.025440405,0.058237438
1633452057,793801307.7,63.65399075,-0.878157112,0.436767639,0.226718668,-0.008408591,0.019170009,-0.039075366
1633452057,843769311.9,63.70395875,-0.90350597,0.345509345,0.234865717,-0.03438862,0.0229799,-0.129861714
1633452057,877013206.5,63.73720264,-0.888231258,0.362185509,0.221301407,0.006954759,-0.07169437,-0.134422804
1633452057,910412311.6,63.77060175,-0.879035942,0.410180504,0.110123938,-0.023791083,0.062414675,0.002242638
1633452057,943860769.3,63.80405021,-0.845103853,0.443081554,0.192574252,-0.008900017,0.041541007,0.083666097
1633452057,993798732.8,63.85398817,-0.816291349,0.411953429,0.224605834,0.009282665,-0.063491834,0.002708957
1633452058,43893337.25,63.90408278,-0.85344143,0.463875933,0.18036535,-0.010425259,0.052844677,0.10017045
1633452058,77288627.62,63.93747807,-0.846441282,0.434096893,0.225331822,0.001759998,0.012372094,-0.036036251
1633452058,110499858.9,63.9706893,-0.9068471,0.480255442,0.184285985,0.003418708,0.090376966,0.049977884
1633452058,143800258.6,64.0039897,-0.877924267,0.397952096,0.309173832,0.012503336,0.103661207,0.005059013
1633452058,210489749.9,64.07067919,-0.833520622,0.412103949,0.244730509,0.001928467,-0.088427004,0.014896252
1633452058,277226686.5,64.13741612,-0.85975698,0.491125153,0.138682826,-0.044891146,0.169172835,0.03854629
1633452058,310543775.6,64.17073321,-0.847256705,0.352215912,0.364485017,0.006574662,0.01931491,-0.004350859
1633452058,343779325.5,64.20396876,-0.841980594,0.380816881,0.241940447,-0.01031936,-0.095976716,-0.079440465
1633452058,377191782,64.23738122,-0.853657477,0.427475971,0.199498416,-0.038041668,0.089519973,0.018398416
1633452058,410476684.6,64.27066612,-0.834916603,0.339267953,0.386922279,0.014613286,-0.061566326,-0.004238029
1633452058,443804264.1,64.3039937,-0.868046217,0.459823279,0.121508135,0.002694648,0.025626606,-0.058899484
1633452058,477245807.6,64.33743525,-0.855824861,0.397206157,0.232160739,-0.02611979,0.031450341,0.062909946
1633452058,510445118,64.37063456,-0.866080751,0.392075331,0.236968886,-0.021078749,0.009101882,-0.096959596
1633452058,560512304.3,64.42070174,-0.843131803,0.4172973,0.233052712,-0.004076389,0.015665257,0.040885736
1633452058,643989324.6,64.50417876,-0.842532423,0.411425159,0.235568001,-0.019259065,0.01298793,-0.009804297
1633452058,743914604.2,64.60410404,-0.831973632,0.398303627,0.246741718,-0.034943092,-0.005675381,0.044191529
1633452058,810539722.4,64.67072916,-0.824584094,0.412667302,0.26156568,-0.074164331,-0.073615736,-0.002985285
1633452058,843835830.7,64.70402527,-0.829809554,0.400793715,0.245871342,-0.110659251,0.026867233,0.039114286
