,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
of,1633452037,135297537,43.22725034,,,,0,0,7.22E-05,,,25.34561095,15.12361599,0,0,0,0.299053041,0.95423649,0.964880327,0,0
of,1633452037,135297537,43.22725034,,,,0,0,7.22E-05,,,25.34561095,15.12361599,0,0,0,0.299053041,0.95423649,0.964880327,0,0
i,1633452037,104520192,43.23526907,0.053454545,-0.440021283,-9.733713943,0.038166374,0.540992916,-0.008396709,,,,,,,,,,,,
i,1633452037,114524416,43.24527335,-0.095352033,-0.295451594,-11.14828322,0.034866694,0.540410876,-0.011546154,,,,,,,,,,,,
i,1633452037,124527104,43.2552762,-0.334655952,-0.285543692,-11.89736205,0.021374641,0.538637519,-0.012274643,,,,,,,,,,,,
i,1633452037,134525440,43.26527452,-0.278009041,-0.46184207,-11.10017239,0.013787224,0.536847711,-0.010794967,,,,,,,,,,,,
of,1633452037,175588608,43.26754141,,,,0,0,7.22E-05,,,25.37751967,15.14579434,0,0,0,0.299054429,0.954236055,0.964048532,0,0
of,1633452037,175588608,43.26754141,,,,0,0,7.22E-05,,,25.37751967,15.14579434,0,0,0,0.299054429,0.954236055,0.964048532,0,0
p,1633452037,392748750,43.26973414,,,,0.022166423,0.010449352,0.010449352,,,21.24314363,-17.19670749,-1.847230847,0.038124512,0.006216189,-0.425968826,0.90391285,0.587268617,0.124175831,0.301099752
i,1633452037,144525824,43.27527475,-0.05560738,-0.474825361,-9.48195452,0.005555903,0.533469439,-0.008522484,,,,,,,,,,,,
i,1633452037,154529280,43.28527832,0.265330779,-0.442155738,-8.830358159,-0.003898323,0.536384702,-0.006213233,,,,,,,,,,,,
i,1633452037,164527616,43.29527664,0.755931838,-0.438018931,-9.006548254,-0.003750728,0.536168158,-0.007196307,,,,,,,,,,,,
e,1633452037,205170793,43.29712367,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452037,205170870,43.29712367,,,,0,0,0.001125803,,,25.40771803,15.16696121,0,0,0,0.29924396,0.954176636,1.073781131,0,0
ho,1633452037,205170793,43.29712367,,,,0,0,0.004731803,,,25.4680884,15.25404606,0,0,0,0.300358903,0.953826257,1.105261316,0,0
p,1633452037,425790750,43.3027761,,,,-0.067279126,-0.034966701,0.016128936,,,21.25845546,-17.20977837,-1.837900773,0.038530141,0.006209658,-0.425808434,0.903971264,0.711217256,-0.490720393,0.09800173
i,1633452037,174528256,43.30527735,0.63853237,-0.57743964,-8.992195904,-0.004892661,0.538590193,-0.010535088,,,,,,,,,,,,
i,1633452037,184530944,43.31527996,0.087175923,-0.755688019,-9.933695833,-0.005470687,0.53885448,-0.007409991,,,,,,,,,,,,
i,1633452037,194529536,43.32527852,-0.599122845,-0.940140331,-11.33035127,-0.007566927,0.538644433,0.001140044,,,,,,,,,,,,
of,1633452037,235302448,43.32725525,,,,0,0,0.001125803,,,25.43429527,15.18544966,0,0,0,0.299260144,0.95417156,1.075159688,0,0
i,1633452037,204530176,43.33527923,-0.97365952,-1.044797149,-11.22967906,-0.003945391,0.538137496,0.006086709,,,,,,,,,,,,
i,1633452037,214532608,43.3452816,-0.65934113,-0.997807142,-9.777685771,0.004655786,0.536666155,0.00799516,,,,,,,,,,,,
of,1633452037,256053925,43.34800673,,,,0,0,0.001125803,,,25.45261828,15.19819698,0,0,0,0.29927129,0.954168064,1.076109093,0,0
of,1633452037,256053925,43.34800673,,,,0,0,0.001125803,,,25.45261828,15.19819698,0,0,0,0.29927129,0.954168064,1.076109093,0,0
i,1633452037,224531200,43.35528016,0.052712029,-0.785717831,-8.616867969,0.009168533,0.532988787,0.004159865,,,,,,,,,,,,
i,1633452037,234532096,43.36528111,0.861918078,-0.559886886,-8.313124091,0.011599423,0.535657167,-0.005843634,,,,,,,,,,,,
p,1633452037,493484750,43.37047005,,,,0.023202135,-0.020349619,-0.018201253,,,21.26344169,-17.26838199,-1.835411115,0.035970931,0.006088386,-0.425344937,0.904295697,0.830879516,-0.151915506,0.069051709
i,1633452037,244534784,43.37528372,1.166869212,-0.390289248,-8.767275388,0.007399306,0.535618007,-0.016680444,,,,,,,,,,,,
i,1633452037,254533120,43.38528204,0.87081282,-0.485299007,-9.382924237,0.008533049,0.539255977,-0.025896685,,,,,,,,,,,,
of,1633452037,295290470,43.38724327,,,,0,0,0.001125803,,,25.48730676,15.22233097,0,0,0,0.299292364,0.954161454,1.077904213,0,0
i,1633452037,264533504,43.39528251,0.133452594,-0.434997574,-11.31765194,-0.007734143,0.537817895,-0.026999412,,,,,,,,,,,,
of,1633452037,304812908,43.39676571,,,,0,0,0.000870998,,,25.48978202,15.224012,0,0,0,0.299251916,0.954174141,0.984135121,0,0
i,1633452037,274535936,43.40528488,-0.644782443,-0.75625201,-12.04318156,-0.020794179,0.539207458,-0.016984826,,,,,,,,,,,,
i,1633452037,284534272,43.4152832,-0.782757666,-0.925723756,-10.92196453,-0.016987087,0.534279406,-0.006303438,,,,,,,,,,,,
of,1633452037,335245371,43.42719817,,,,0,0,0.000870998,,,25.51436342,15.24111266,0,0,0,0.299264562,0.954170175,0.98380133,0,0
p,1633452037,559196750,43.43618202,,,,0.05423306,-0.010158783,-5.01E-15,,,21.29047375,-17.31704101,-1.833728333,0.036372247,0.005181022,-0.425914121,0.904017355,1.227559948,-0.240845785,0.126942406
i,1633452037,314535424,43.44528437,0.328413624,-0.519166132,-8.120591933,-0.007307188,0.53770411,0.009017644,,,,,,,,,,,,
of,1633452037,355305433,43.44725823,,,,0,0,0.000870998,,,25.5305618,15.2523821,0,0,0,0.299272897,0.95416756,0.983581307,0,0
of,1633452037,355305433,43.44725823,,,,0,0,0.000870998,,,25.5305618,15.2523821,0,0,0,0.299272897,0.95416756,0.983581307,0,0
i,1633452037,324535808,43.45528483,-0.011248863,-0.4528176,-8.580783679,-0.004038616,0.538325369,0.001048564,,,,,,,,,,,,
i,1633452037,334538240,43.46528721,-0.438537877,-0.443769713,-10.11738184,-0.005028245,0.540469408,-0.006255926,,,,,,,,,,,,
p,1633452037,593183750,43.47016907,,,,0.007491294,0.007491294,3.93E-14,,,21.31065262,-17.35465225,-1.831611783,0.037131856,0.00463243,-0.425924988,0.903984331,1.142500614,-0.369718442,0.145368345
i,1633452037,344536832,43.47528577,-0.649394467,-0.47768444,-11.45451541,-0.008265823,0.536883771,-0.005498163,,,,,,,,,,,,
i,1633452037,354537472,43.48528647,-0.502407743,-0.613202187,-11.20913546,-0.008696634,0.538733304,-0.005516963,,,,,,,,,,,,
of,1633452037,395227194,43.48717999,,,,0,0,0.000870998,,,25.56278721,15.2748026,0,0,0,0.299289486,0.954162357,0.983143435,0,0
of,1633452037,402915478,43.49486828,,,,0,0,0.000674286,,,25.56799518,15.27839292,0,0,0,0.299257537,0.954172378,0.967001336,0,0
ho,1633452037,402915408,43.49486828,,,,0,0,-1.71E-14,,,25.62380652,15.36291234,0,0,0,0.300358903,0.953826257,0.962389649,0,0
e,1633452037,402915408,43.49486828,,,,,,,6.056935191,6.056935191,,,,,,,,,,
i,1633452037,364539904,43.49528885,-0.029089344,-0.564194849,-10.13587026,-0.008895867,0.534225106,-0.00559194,,,,,,,,,,,,
p,1633452037,625773750,43.50275898,,,,-0.019337555,-0.035806197,-2.04E-14,,,21.32498285,-17.3912931,-1.8291445,0.037294198,0.004690786,-0.425921014,0.903979219,1.390430345,0.022267023,0.048837959
i,1633452037,374538496,43.50528741,0.520141516,-0.325035854,-9.375470414,-0.028075652,0.533585012,-0.007937256,,,,,,,,,,,,
i,1633452037,384539392,43.51528835,0.989664314,-0.253845015,-9.533529224,-0.048904359,0.534689248,-0.015505655,,,,,,,,,,,,
i,1633452037,394542080,43.52529097,0.967357278,-0.46411966,-9.615155953,-0.058880437,0.538192391,-0.02466386,,,,,,,,,,,,
of,1633452037,435311794,43.5272646,,,,0,0,0.000674286,,,25.59370254,15.29627733,0,0,0,0.299267959,0.954169109,0.966332684,0,0
i,1633452037,404540672,43.53528976,0.656302858,-0.743544065,-9.991614938,-0.066316791,0.534735501,-0.027293188,,,,,,,,,,,,
p,1633452037,659176750,43.53616214,,,,-0.030107683,-0.021906558,-0.031829492,,,21.35510876,-17.42668705,-1.829312438,0.036747524,0.004287746,-0.425941704,0.90399386,0.777422731,0.258521301,-0.183994402
i,1633452037,414541056,43.54528999,0.353703986,-0.97404187,-10.60240992,-0.066416003,0.53827548,-0.016126268,,,,,,,,,,,,
of,1633452037,455320120,43.54727292,,,,0,0,0.000674286,,,25.60957056,15.3073171,0,0,0,0.299274395,0.95416709,0.965919717,0,0
i,1633452037,424543488,43.55529237,-0.045419442,-1.301536333,-10.34450483,-0.042003702,0.531928897,-0.003435582,,,,,,,,,,,,
i,1633452037,434542080,43.56529117,-0.415254178,-1.265775576,-9.599643911,-0.010107566,0.536627293,0.014535901,,,,,,,,,,,,
of,1633452037,475324392,43.56727719,,,,0,0,0.000674286,,,25.62542844,15.31835014,0,0,0,0.29928083,0.954165072,0.965506834,0,0
of,1633452037,475324392,43.56727719,,,,0,0,0.000674286,,,25.62542844,15.31835014,0,0,0,0.29928083,0.954165072,0.965506834,0,0
p,1633452037,692610750,43.56959605,,,,0.042495452,-1.22E-14,-0.025625721,,,21.37846378,-17.44079688,-1.835915908,0.036134258,0.004190626,-0.426433868,0.903786983,0.795892251,0.259227997,-0.107333458
i,1633452037,444542464,43.5752914,-0.633618806,-0.763014636,-9.424639226,0.017980529,0.53602469,0.023122724,,,,,,,,,,,,
i,1633452037,454551040,43.58529997,-0.750190152,-0.317454204,-9.411240231,0.014821257,0.541863739,0.024032271,,,,,,,,,,,,
i,1633452037,464549632,43.59529853,-0.636738034,-0.119105961,-9.179327079,0.004390457,0.538485467,0.016216708,,,,,,,,,,,,
e,1633452037,503553036,43.59550595,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452037,503553152,43.59550595,,,,0,0,0.000521514,,,25.64748712,15.33367193,0,0,0,0.299262593,0.954170792,0.960001965,0,0
ho,1633452037,503553036,43.59550595,,,,0,0,-7.43E-16,,,25.68609377,15.40645885,0,0,0,0.300358903,0.953826257,0.958616899,0,0
p,1633452037,725613750,43.60259914,,,,2.50E-15,-0.00911759,-0.013122453,,,21.40185167,-17.45537889,-1.839923799,0.036766246,0.003906871,-0.426818843,0.903581017,0.811991801,0.057249344,-0.023741494
i,1633452037,474550272,43.60529923,-0.643498029,-0.048556736,-8.989943156,-0.004539548,0.543545067,0.00528327,,,,,,,,,,,,
i,1633452037,484552704,43.61530161,-0.811988656,-0.101260526,-9.841792625,-0.035044666,0.541810751,-0.003968822,,,,,,,,,,,,
i,1633452037,494551040,43.62529993,-0.861027339,-0.542279077,-10.46419855,-0.043883342,0.543010533,-0.008056404,,,,,,,,,,,,
of,1633452037,535255671,43.62720847,,,,0,0,0.000521514,,,25.67246055,15.35104615,0,0,0,0.299270481,0.954168318,0.959253604,0,0
i,1633452037,504551424,43.6353004,-0.461119966,-0.768777364,-9.478016596,-0.040282302,0.539219201,-0.012854401,,,,,,,,,,,,
i,1633452037,514553856,43.64530277,0.22615846,-0.789090596,-9.166617235,-0.025960065,0.540904641,-0.015053108,,,,,,,,,,,,
of,1633452037,555355549,43.64730835,,,,0,0,0.000521514,,,25.68828382,15.3620549,0,0,0,0.299275482,0.95416675,0.958779131,0,0
of,1633452037,555355549,43.64730835,,,,0,0,0.000521514,,,25.68828382,15.3620549,0,0,0,0.299275482,0.95416675,0.958779131,0,0
i,1633452037,524552448,43.65530133,0.747390731,-0.718955129,-9.222691005,-0.020548329,0.538778484,-0.018344697,,,,,,,,,,,,
i,1633452037,534553344,43.66530228,1.166101223,-0.604934819,-9.615068274,-0.018261034,0.537936509,-0.025454169,,,,,,,,,,,,
i,1633452037,544556032,43.67530513,1.18282381,-0.689395054,-10.02392614,-0.012989602,0.534949601,-0.030080689,,,,,,,,,,,,
i,1633452037,554554624,43.68530369,0.600504216,-0.584835157,-10.86566572,-0.012775849,0.539614797,-0.02649747,,,,,,,,,,,,
of,1633452037,595297337,43.68725014,,,,0,0,0.000521514,,,25.71970381,15.38391529,0,0,0,0.299285419,0.954163633,0.957836276,0,0
i,1633452037,564555264,43.69530416,-0.015296824,-0.584885024,-12.11053484,-0.018080339,0.534591794,-0.019453378,,,,,,,,,,,,
p,1633452037,825803750,43.70278907,,,,0.069519125,0.024170183,-0.019281135,,,21.45800619,-17.51434962,-1.845028149,0.036568718,0.003518333,-0.427429485,0.903301935,1.073711548,0.047868242,-0.20604177
e,1633452037,612423464,43.70437622,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452037,612423420,43.70437622,,,,0,0,-0.001574779,,,25.7335129,15.39316995,0,0,0,0.298913755,0.95428013,0.960141477,0,0
ho,1633452037,612423464,43.70437622,,,,0,0,-0.008582323,,,25.79024697,15.47913007,0,0,0,0.299467554,0.954106485,0.960854516,0,0
i,1633452037,574557952,43.70530701,-0.150811296,-0.701156219,-11.04841181,-0.017169042,0.536930084,-0.011227799,,,,,,,,,,,,
i,1633452037,584556544,43.71530557,0.037522796,-0.687397742,-9.525877833,-0.013189945,0.5338642,-0.002373357,,,,,,,,,,,,
i,1633452037,594556928,43.72530603,0.299384385,-0.5044562,-8.610894155,-0.012325122,0.533522666,0.000316573,,,,,,,,,,,,
of,1633452037,635245085,43.72719789,,,,0,0,-0.001574779,,,25.75150457,15.40566738,0,0,0,0.298896607,0.954285501,0.959639904,0,0
i,1633452037,604559360,43.73530841,0.448412862,-0.428212407,-8.239174473,-0.017043179,0.533742726,-0.000361484,,,,,,,,,,,,
p,1633452037,859304750,43.73628998,,,,-0.011989884,0.007342274,-0.002447425,,,21.4822391,-17.54062593,-1.853176892,0.037792476,0.003398121,-0.427710167,0.903119148,0.991386354,0.020348825,-0.007411142
i,1633452037,614557696,43.74530673,0.25572334,-0.552106753,-8.413169689,-0.014880608,0.540796638,-0.006921102,,,,,,,,,,,,
of,1633452037,655311108,43.74726391,,,,0,0,-0.001574779,,,25.76731643,15.41664983,0,0,0,0.298881529,0.954290224,0.959198894,0,0
i,1633452037,624558080,43.75530696,-0.319517274,-0.538149065,-9.212779267,-0.003395408,0.537436068,-0.013083123,,,,,,,,,,,,
i,1633452037,634560512,43.76530957,-0.693810459,-0.596430245,-10.5293061,-0.003250118,0.537127554,-0.013013547,,,,,,,,,,,,
of,1633452037,675361156,43.76731396,,,,0,0,-0.001574779,,,25.78310879,15.42761799,0,0,0,0.298866464,0.954294942,0.958758235,0,0
of,1633452037,675361156,43.76731396,,,,0,0,-0.001574779,,,25.78310879,15.42761799,0,0,0,0.298866464,0.954294942,0.958758235,0,0
i,1633452037,644558848,43.77530789,-0.870784325,-0.539514727,-10.84516303,-0.004341965,0.532572627,-0.006958857,,,,,,,,,,,,
i,1633452037,654559232,43.78530812,-0.618266485,-0.614642157,-9.974942035,-0.013977733,0.536858022,-0.001863698,,,,,,,,,,,,
i,1633452037,664561664,43.79531074,-0.225457564,-0.42131556,-9.073154523,-0.020022694,0.53688091,0.001159061,,,,,,,,,,,,
of,1633452037,711400747,43.80335355,,,,0,0,-0.001018821,,,25.81834738,15.45218579,0,0,0,0.29893943,0.954272087,1.063510846,0,0
ho,1633452037,711400744,43.80335355,,,,0,0,0.000857835,,,25.87307747,15.53692371,0,0,0,0.300358903,0.953826257,1.093480253,0,0
e,1633452037,711400744,43.80335355,,,,,,,6.056935191,6.056935191,,,,,,,,,,
i,1633452037,674566144,43.80531502,0.060844518,-0.494733263,-9.05676453,-0.035877775,0.541000307,0.000310862,,,,,,,,,,,,
i,1633452037,684566528,43.81531549,0.152052245,-0.486703174,-9.207201175,-0.035468254,0.537994206,-0.007661428,,,,,,,,,,,,
i,1633452037,694568960,43.82531786,-0.048041457,-0.473213724,-9.829543384,-0.019231891,0.541620016,-0.015893595,,,,,,,,,,,,
of,1633452037,735371113,43.82732391,,,,0,0,-0.001018821,,,25.83929363,15.46673721,0,0,0,0.298927778,0.954275738,1.064507564,0,0
of,1633452037,735371113,43.82732391,,,,0,0,-0.001018821,,,25.83929363,15.46673721,0,0,0,0.298927778,0.954275738,1.064507564,0,0
i,1633452037,704567552,43.83531666,-0.304505162,-0.345435632,-10.91594395,-0.013192113,0.538287938,-0.023701323,,,,,,,,,,,,
p,1633452037,959058750,43.83604407,,,,0.038488578,-0.016264393,1.70E-17,,,21.54652815,-17.6156726,-1.857623643,0.0374086,0.003989245,-0.42780443,0.903088064,1.274347369,-0.197537204,-0.051265503
i,1633452037,714568192,43.84531713,-0.272145117,-0.422216491,-11.59823882,-0.010832439,0.540190578,-0.025301974,,,,,,,,,,,,
i,1633452037,724570624,43.8553195,0.225397522,-0.538900029,-10.39265307,-0.008991993,0.533731818,-0.019825885,,,,,,,,,,,,
i,1633452037,734568960,43.86531806,0.620006825,-0.495574901,-9.208754834,-0.002876164,0.536479712,-0.012693422,,,,,,,,,,,,
of,1633452037,775284052,43.86723685,,,,0,0,-0.001018821,,,25.87421525,15.4909961,0,0,0,0.298908376,0.954281815,1.066167195,0,0
p,1633452037,992623750,43.86960912,,,,-0.011018339,0.035036086,-0.005194095,,,21.56856225,-17.65277343,-1.861434687,0.037875155,0.003466405,-0.427817113,0.903064768,1.062556342,-0.03384632,0.258963572
i,1633452037,744569344,43.87531829,0.77556191,-0.408832839,-8.774195542,-0.00430403,0.53418684,-0.00779337,,,,,,,,,,,,
i,1633452037,754571776,43.88532066,0.677272581,-0.358053596,-8.750203257,-0.000511018,0.540328324,-0.006514607,,,,,,,,,,,,
of,1633452037,795300484,43.88725328,,,,0,0,-0.001018821,,,25.89174951,15.50317551,0,0,0,0.298898645,0.954284863,1.066999504,0,0
i,1633452037,764570112,43.89531898,0.249846246,-0.280031505,-9.104224784,0.014620848,0.538544953,-0.013198344,,,,,,,,,,,,
e,1633452037,810225970,43.90217876,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452037,810225964,43.90217876,,,,0,0,-0.017994695,,,25.9048915,15.50938872,0,0,0,0.295833252,0.955239597,1.047268949,0,0
ho,1633452037,810225970,43.90217876,,,,0,0,-0.075651984,,,25.95963408,15.59636018,0,0,0,0.292327414,0.956318296,1.041458982,0,0
i,1633452037,774570496,43.90531945,-0.446520363,-0.125774288,-10.40856258,0.022401208,0.541240931,-0.020106506,,,,,,,,,,,,
i,1633452037,784572928,43.91532183,-1.020581284,-0.117854975,-11.6551806,0.012500816,0.537370324,-0.022860846,,,,,,,,,,,,
i,1633452037,794571264,43.92532015,-0.769882476,-0.302954773,-10.89594629,-0.011458879,0.53683883,-0.020697756,,,,,,,,,,,,
of,1633452037,835246086,43.92719889,,,,0,0,-0.017994695,,,25.92651547,15.52420329,0,0,0,0.295618206,0.955306169,1.048002556,0,0
i,1633452037,804571648,43.93532062,-0.031276223,-0.679155691,-9.168168557,-0.036934387,0.53316623,-0.014451013,,,,,,,,,,,,
p,1633452038,59096750,43.93608212,,,,-0.020586608,-0.010293304,7.69E-15,,,21.61115777,-17.70999273,-1.847231159,0.038041999,0.00468121,-0.427927313,0.903000059,0.670264985,0.068178994,0.315293223
i,1633452037,814574080,43.94532299,0.630346433,-0.854524752,-8.403950609,-0.050235946,0.534480751,-0.004707728,,,,,,,,,,,,
of,1633452037,855279684,43.94723248,,,,0,0,-0.017994695,,,25.94384603,15.53606499,0,0,0,0.295446008,0.955359438,1.048589954,0,0
of,1633452037,855279684,43.94723248,,,,0,0,-0.017994695,,,25.94384603,15.53606499,0,0,0,0.295446008,0.955359438,1.048589954,0,0
i,1633452037,824572416,43.95532131,0.630767873,-0.957302551,-8.897527907,-0.045697059,0.534010887,0.003061145,,,,,,,,,,,,
i,1633452037,836571136,43.9673202,0.122241611,-0.964358461,-9.345040789,-0.016801599,0.539427817,-0.000491663,,,,,,,,,,,,
p,1633452038,92639750,43.969625,,,,0.003087469,0.031551401,-0.015620365,,,21.62692018,-17.72668287,-1.837457115,0.037656345,0.004673071,-0.427932232,0.903013935,1.056107935,-0.159327318,0.331124931
i,1633452037,846571520,43.97732043,-0.26912292,-0.879855374,-10.49534538,0.027898928,0.536608517,-0.009891928,,,,,,,,,,,,
of,1633452037,895300388,43.98725319,,,,0,0,-0.017994695,,,25.97850456,15.55976826,0,0,0,0.295101983,0.955465761,1.049763389,0,0
i,1633452037,856573952,43.98732305,-0.587657375,-0.565208994,-11.18479947,0.050621931,0.537180305,-0.017157339,,,,,,,,,,,,
i,1633452037,866572288,43.99732137,-0.413454033,-0.355842167,-10.97231057,0.0479444,0.536534905,-0.01563924,,,,,,,,,,,,
of,1633452037,908760309,44.00071311,,,,0,0,-0.01385846,,,25.98548257,15.56522691,0,0,0,0.295731365,0.955271145,0.982057043,0,0
ho,1633452037,908760199,44.00071311,,,,0,0,0.000251299,,,26.02970372,15.64447542,0,0,0,0.300358903,0.953826257,0.962563075,0,0
e,1633452037,908760199,44.00071311,,,,,,,6.056935191,6.056935191,,,,,,,,,,
i,1633452037,876572672,44.0073216,0.093962771,-0.354096566,-9.463337498,0.024823437,0.535715699,-0.008332952,,,,,,,,,,,,
i,1633452037,886581248,44.01733017,0.420975953,-0.362823003,-8.236523082,0.003050661,0.534387887,-0.001003343,,,,,,,,,,,,
of,1633452037,935284376,44.02723718,,,,0,0,-0.01385846,,,26.00697113,15.57994197,0,0,0,0.295555789,0.955325481,0.981746482,0,0
i,1633452037,896585472,44.02733445,0.546080661,-0.374599073,-8.620390882,-0.016788246,0.535336137,0.005184419,,,,,,,,,,,,
i,1633452037,906586112,44.03733516,0.180282406,-0.399726354,-8.64119577,-0.031037306,0.53691721,0.004585576,,,,,,,,,,,,
p,1633452038,160857750,44.03784299,,,,-0.028837659,-0.059699626,3.84E-15,,,21.66361644,-17.79085671,-1.818641005,0.03820946,0.005619876,-0.428373009,0.902776284,0.928600889,-0.555342575,-0.091521723
of,1633452037,955293179,44.04724598,,,,0,0,-0.01385846,,,26.02318091,15.59103345,0,0,0,0.295423335,0.95536645,0.981512206,0,0
of,1633452037,955293179,44.04724598,,,,0,0,-0.01385846,,,26.02318091,15.59103345,0,0,0,0.295423335,0.95536645,0.981512206,0,0
i,1633452037,916588288,44.04733729,-0.242860954,-0.508462257,-9.781077167,-0.015436777,0.540152073,-0.001889626,,,,,,,,,,,,
i,1633452037,926586880,44.05733585,-0.739526281,-0.559033046,-11.33876254,0.004809336,0.540682316,-0.003912397,,,,,,,,,,,,
i,1633452037,936587520,44.06733656,-0.825656166,-0.559191414,-11.71200782,0.015869627,0.53508985,-0.004892538,,,,,,,,,,,,
p,1633452038,192534750,44.06952,,,,-4.02E-19,0.020633834,-3.67E-17,,,21.66868588,-17.82447094,-1.823886287,0.037392051,0.004961908,-0.428406335,0.902798552,1.116297625,0.370247225,0.013373107
i,1633452037,946590208,44.07733917,-0.257022166,-0.648469023,-10.83830074,0.02630803,0.535163641,-0.004533817,,,,,,,,,,,,
of,1633452037,995235443,44.08718824,,,,0,0,-0.01385846,,,26.055534,15.61315776,0,0,0,0.295158908,0.955448177,0.981044536,0,0
i,1633452037,956588544,44.08733749,0.230494224,-0.509097962,-9.070259387,0.03093347,0.536487341,-0.004541425,,,,,,,,,,,,
i,1633452037,966588928,44.09733796,0.624057416,-0.373386336,-8.78454158,0.016019512,0.538637459,-0.006849524,,,,,,,,,,,,
e,1633452038,8076017,44.10002875,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452038,8075953,44.10002875,,,,0,0,0.008615422,,,26.06534129,15.62371331,0,0,0,0.299115597,0.954216883,0.999855593,0,0
ho,1633452038,8076017,44.10002875,,,,0,0,0.085343441,,,26.12313459,15.70979519,0,0,0,0.300358903,0.953826257,1.005248899,0,0
p,1633452038,226000750,44.1029861,,,,0.001008038,0.008737217,-0.006964967,,,21.7019086,-17.8455781,-1.82420058,0.037539963,0.005273614,-0.428393399,0.902796785,1.039695859,-0.185098053,0.052791734
i,1633452037,976591360,44.10734034,0.494315768,-0.420026068,-8.821277611,0.008453781,0.540975451,-0.010747491,,,,,,,,,,,,
i,1633452037,986589696,44.11733866,-0.138048215,-0.53948583,-9.356677451,0.005421384,0.541942179,-0.01629799,,,,,,,,,,,,
i,1633452037,996590080,44.12733912,-0.646303735,-0.680269717,-10.84270336,0.003218073,0.539698422,-0.014809232,,,,,,,,,,,,
of,1633452038,35613775,44.12756658,,,,0,0,0.008615422,,,26.08794813,15.63943074,0,0,0,0.299228789,0.954181394,0.999847669,0,0
of,1633452038,35613775,44.12756658,,,,0,0,0.008615422,,,26.08794813,15.63943074,0,0,0,0.299228789,0.954181394,0.999847669,0,0
i,1633452038,6592512,44.1373415,-0.643270504,-0.841572259,-10.97407816,-0.01124108,0.535806954,-0.011629149,,,,,,,,,,,,
i,1633452038,16590848,44.14733982,0.108014056,-0.974826079,-9.787802092,-0.021431673,0.534250259,-0.003532394,,,,,,,,,,,,
i,1633452038,26591232,44.15734029,0.649378612,-1.117288165,-8.069740867,-0.008656212,0.535238624,0.003956752,,,,,,,,,,,,
of,1633452038,75273275,44.16722608,,,,0,0,0.008615422,,,26.12050043,15.6620742,0,0,0,0.299391799,0.954130259,0.999836259,0,0
of,1633452038,75273275,44.16722608,,,,0,0,0.008615422,,,26.12050043,15.6620742,0,0,0,0.299391799,0.954130259,0.999836259,0,0
i,1633452038,36593664,44.16734266,0.488538792,-0.995461967,-8.375432371,0.005909362,0.537902713,0.010401983,,,,,,,,,,,,
i,1633452038,46592256,44.17734122,0.052578648,-0.436420848,-9.573772387,0.017383972,0.538242698,0.007296963,,,,,,,,,,,,
i,1633452038,56592896,44.18734193,-0.324868572,-0.214024535,-10.3710129,0.032889917,0.542932272,-0.001936557,,,,,,,,,,,,
i,1633452038,66595072,44.19734406,-0.608799714,-0.075717865,-10.99407115,0.036483899,0.541553259,-0.011181328,,,,,,,,,,,,
e,1633452038,107065231,44.199018,,,,,,,6.056935191,6.056935191,,,,,,,,,,
of,1633452038,107065201,44.199018,,,,0,0,0.006665499,,,26.14470769,15.67859602,0,0,0,0.299172941,0.954198906,0.967129824,0,0
ho,1633452038,107065231,44.199018,,,,0,0,-1.66E-14,,,26.18542184,15.7533417,0,0,0,0.300358903,0.953826257,0.957806911,0,0
i,1633452038,76593664,44.20734262,-0.713689391,-0.091645936,-11.40115674,0.023793805,0.537445664,-0.013828806,,,,,,,,,,,,
i,1633452038,86593792,44.21734285,-0.227928027,-0.227500997,-10.56681838,0.005969779,0.537045062,-0.008954991,,,,,,,,,,,,
of,1633452038,135279894,44.22723269,,,,0,0,0.006665499,,,26.16710378,15.69417091,0,0,0,0.299262666,0.954170769,0.966566645,0,0
i,1633452038,96596480,44.22734547,0.281187707,-0.529279822,-8.507957512,-0.006553863,0.535057962,0.000129153,,,,,,,,,,,,
i,1633452038,106600704,44.23734975,0.352184777,-0.472539332,-7.488740137,-0.003505288,0.538647175,0.006884494,,,,,,,,,,,,
of,1633452038,155313253,44.24726605,,,,0,0,0.006665499,,,26.18299573,15.70522707,0,0,0,0.299326371,0.954150787,0.96616677,0,0
i,1633452038,116601344,44.24735022,0.200899753,-0.471500052,-8.422651803,-0.003626211,0.540454686,0.008199368,,,,,,,,,,,,
i,1633452038,126603776,44.25735283,-0.0208837,-0.393424221,-9.290564518,0.010090736,0.542533994,0.000319335,,,,,,,,,,,,
i,1633452038,136602368,44.26735139,-0.06243745,-0.438726385,-10.11047746,0.028530076,0.540612519,-0.010364077,,,,,,,,,,,,
p,1633452038,392650750,44.26963615,,,,-0.000871759,0.020668048,-0.005952685,,,21.7874145,-17.99965031,-1.82473657,0.037924599,0.005916678,-0.428890269,0.902540778,1.006842179,-0.110012902,0.137298112
