,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
ho,1633451994,402862964,0.494815826,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
p,1633451994,622937750,0.499922991,,,,0,2.06E-16,0,,,-0.161724452,0.150939465,0.08083837,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.008680552,-0.001002654,0.007792134
i,1633451994,369546496,0.500295401,-0.373149605,0.049305773,-9.806693255,0.000385345,0.534897566,-0.002306658,,,,,,,,,,,,
i,1633451994,379549952,0.510298967,-0.368950217,0.049249444,-9.805622411,0.00031135,0.539056182,-0.002490506,,,,,,,,,,,,
i,1633451994,389555456,0.520304441,-0.370272515,0.050639611,-9.807308172,0.001354156,0.537181675,7.05E-05,,,,,,,,,,,,
of,1633451994,435225010,0.527177811,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,399563008,0.530312061,-0.373762037,0.055478968,-9.805178174,-0.000133313,0.537236989,-0.001427263,,,,,,,,,,,,
p,1633451994,656638750,0.533624172,,,,0,2.09E-16,0,,,-0.162028297,0.150897068,0.081086494,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.007956746,-0.000919169,0.007143089
i,1633451994,409566464,0.54031539,-0.381047299,0.059470819,-9.806706114,0.000670419,0.534990609,-0.001209582,,,,,,,,,,,,
of,1633451994,455289602,0.547242403,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451994,455289602,0.547242403,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,419571968,0.550320864,-0.385667068,0.060686122,-9.799840905,0.000736902,0.537906289,-0.002046778,,,,,,,,,,,,
i,1633451994,429579264,0.560328245,-0.389210147,0.060011803,-9.799454536,-0.000721043,0.534958243,-0.002834125,,,,,,,,,,,,
p,1633451994,689915750,0.566900969,,,,0,2.10E-16,0,,,-0.162303301,0.150858691,0.081311088,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.007257475,-0.000838403,0.006515411
i,1633451994,439582464,0.570331335,-0.390554036,0.056473582,-9.796748784,-0.000338434,0.539211988,-0.001915976,,,,,,,,,,,,
i,1633451994,449587968,0.580337048,-0.384784805,0.05520422,-9.794178056,-0.000279473,0.534971416,-0.002518229,,,,,,,,,,,,
of,1633451994,495270014,0.587222815,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,459595520,0.590344429,-0.379280874,0.05334271,-9.799798234,-0.000154313,0.53832984,-0.002302468,,,,,,,,,,,,
of,1633451994,502752781,0.594705582,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451994,502752818,0.594705582,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
e,1633451994,502752818,0.594705582,,,,,,,0,0,,,,,,,,,,
p,1633451994,722939750,0.599925041,,,,0,2.07E-16,0,,,-0.162552232,0.150823952,0.08151439,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.006473641,-0.000747854,0.005811734
i,1633451994,469598976,0.600347996,-0.375240659,0.048396695,-9.800349439,0.000524656,0.535067856,-0.0016703,,,,,,,,,,,,
i,1633451994,479604480,0.61035347,-0.370439798,0.051840456,-9.808320564,0.000783068,0.538143933,-0.001955434,,,,,,,,,,,,
i,1633451994,489612032,0.62036109,-0.373206413,0.051403513,-9.801046773,0.000938131,0.535088718,-0.00169615,,,,,,,,,,,,
of,1633451994,535271406,0.627224207,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,497617408,0.62836647,-0.377284038,0.05505081,-9.806244926,-0.000654816,0.53736037,-0.002187777,,,,,,,,,,,,
p,1633451994,756452750,0.63343811,,,,0,2.08E-16,0,,,-0.162777565,0.150792506,0.081698421,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.005879307,-0.000679195,0.00527817
i,1633451994,507624704,0.638373613,-0.377782233,0.058895677,-9.802766437,0.000658827,0.534953594,-0.001989433,,,,,,,,,,,,
of,1633451994,555302143,0.647254944,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451994,555302143,0.647254944,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,517634304,0.648383379,-0.384167988,0.060093924,-9.800037888,0.000196697,0.539417446,-0.001726587,,,,,,,,,,,,
i,1633451994,527639808,0.658388853,-0.388339794,0.060624834,-9.800901812,-8.19E-05,0.534175515,-0.001622436,,,,,,,,,,,,
p,1633451994,789855750,0.66684103,,,,0,2.05E-16,0,,,-0.162981538,0.150764041,0.081865007,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.005240558,-0.000605405,0.004704731
i,1633451994,537647104,0.668395996,-0.387866076,0.059647733,-9.803307704,0.000143308,0.538420439,-0.002427133,,,,,,,,,,,,
i,1633451994,547656192,0.678405285,-0.385437022,0.055889147,-9.801583949,0.000379114,0.535222769,-0.002319887,,,,,,,,,,,,
of,1633451994,595297575,0.687250376,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,557661440,0.688410521,-0.38092086,0.050081772,-9.801408592,0.000476838,0.537121952,-0.002539868,,,,,,,,,,,,
i,1633451994,567668736,0.698417664,-0.376020667,0.048036963,-9.806603238,-0.001077469,0.536098063,-0.001112957,,,,,,,,,,,,
