Sec,NanoSec,0ref_Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492878,234195712,9.805194855,-4.87143898,3.322811842,-0.062022209,-0.048821047,0.539835334,0.045973629
1632492878,334255104,9.905254364,-5.440109253,2.379288435,-2.378647327,-0.519392312,0.5440014,-0.073744461
1632492878,434316288,10.00531554,-5.98281765,5.223743439,-4.206772327,-0.024576498,0.547803819,0.050351758
1632492878,534373632,10.10537267,-4.41604948,4.62077713,-0.928616047,0.091270089,0.540894926,-0.046913169
1632492878,634432768,10.20543194,-6.745620728,3.937116623,-3.575803757,-0.034678426,0.54129976,0.00600434
1632492878,734493952,10.30549312,-6.699801922,3.509998798,0.00496912,0.047800258,0.554143667,0.001919646
1632492878,834551296,10.40555048,-3.793961525,5.288094997,-4.420323372,0.213481784,0.540157437,-0.021942142
1632492878,934616320,10.50561547,-9.447381973,6.284537315,-5.120031357,0.509959996,0.570658147,0.076647922
1632492879,34683392,10.60568261,-5.995948315,1.344250917,-4.576267242,0.063821629,0.543264151,0.056685686
1632492879,134746368,10.70574546,-6.415930271,4.91464901,-8.338699341,-0.188452065,0.510959566,0.138131753
1632492879,234811136,10.80581021,-9.902777672,5.490580082,-7.035365105,-0.219664365,0.524835289,0.494742632
1632492879,334871808,10.90587091,-6.871919632,6.59360981,-3.926196575,0.111433275,0.544574976,0.420135915
1632492879,434934784,11.005934,-7.063062668,8.051354408,-8.021185875,-0.120515034,0.54380703,-0.200320095
1632492879,534993664,11.10599279,-9.450153351,7.510457039,-6.149874687,-0.000879039,0.538894057,0.092790805
1632492879,635054336,11.2060535,-7.864449024,5.03595829,-7.661224842,0.015279757,0.55177021,-0.016277345
1632492879,735117056,11.3061161,-8.502648354,4.134698391,-8.078925133,-0.078060172,0.541679978,0.102409676
1632492879,835181568,11.40618062,-7.725438595,4.865362644,-8.291027069,-0.135641158,0.544542372,0.067406051
1632492879,935241984,11.50624108,-8.063138962,6.069050789,-8.05859375,-0.038433019,0.546707034,-0.009919494
1632492880,35304192,11.60630345,-7.763173103,5.428478718,-8.798330307,0.049062572,0.540259004,-0.013193998
1632492880,135368448,11.70636749,-8.573092461,3.329360962,-9.324419975,0.138088465,0.53359133,-0.059146751
1632492880,235428864,11.80642796,-8.556708336,2.171481371,-10.03831673,-0.130696848,0.539685667,0.017094063
1632492880,335491328,11.90649056,-9.265381813,3.272872686,-10.71835613,0.071000122,0.541072905,-0.175441891
1632492880,435555584,12.00655484,-11.03206635,6.176608086,-10.77794838,-0.292664081,0.537810206,0.035602365
1632492880,535621632,12.10662079,-7.712885857,8.198429108,-10.12490463,-0.165703908,0.543588936,-0.43551147
1632492880,635683584,12.20668268,-8.862051964,6.950709343,-10.15420723,0.114622466,0.572352231,-0.702076077
1632492880,735753472,12.30675268,-8.965218544,3.746743202,-12.46436214,0.481912196,0.576336026,-0.882890046
1632492880,835819264,12.40681839,-11.16828346,0.600492835,-13.62803173,0.132662252,0.556910694,-0.573467135
1632492880,935881216,12.50688028,-9.651724815,-0.350090265,-14.00795841,-0.015800133,0.555766881,-0.400845498
1632492881,35945216,12.60694432,-9.829476357,0.163143992,-14.82503986,0.101179518,0.552622855,-0.33604452
1632492881,136011008,12.70701027,-7.886583328,2.54541254,-14.6821022,-0.161446095,0.543890715,-0.270476669
1632492881,236072704,12.80707192,-9.434001923,1.374729395,-11.14962578,-0.269671977,0.551301777,-0.292107731
1632492881,336136192,12.90713525,-11.47217846,2.999910355,-18.48297882,0.168899432,0.55499202,-0.431922764
1632492881,436201472,13.00720072,-9.34519577,-2.395970106,-15.36604881,0.231298149,0.550452173,-0.156771615
1632492881,536263168,13.10726237,-8.696331024,-0.622429788,-17.16224289,0.120613821,0.558368385,-0.006045601
1632492881,636326400,13.20732546,-5.459739208,0.412046313,-12.18613434,0.186430305,0.543766797,-0.072653048
1632492881,736391680,13.30739093,-6.960132599,-2.76368928,-13.98463058,-0.712992787,0.529570341,0.068444207
1632492881,836459008,13.40745807,-6.373215675,5.503365517,-15.68597794,0.071903475,0.547122359,0.048555084
1632492881,936522496,13.50752163,-5.712263584,1.521906137,-16.35513115,0.21647732,0.538015723,0.04445402
1632492882,36593664,13.60759282,-6.502286911,2.477843523,-20.07242775,0.070224226,0.539376497,0.183036134
1632492882,136660736,13.70765996,-5.289503574,0.586111367,-19.160923,-0.250908166,0.547023118,0.55213517
1632492882,236723712,13.80772281,-3.581102371,0.977600157,-16.51016045,-0.11119815,0.536301613,0.458689332
1632492882,336788736,13.9077878,-4.655740738,1.558544159,-15.51149368,0.636441469,0.543686926,-0.08507745
1632492882,436855552,14.0078547,-4.780019283,0.44004482,-14.70846748,-0.136946052,0.548630297,0.049401868
1632492882,536918272,14.10791731,-4.057777405,0.553121448,-18.53948975,-0.081757687,0.547572911,0.072841473
1632492882,636983296,14.20798254,-3.673219919,1.763221979,-17.69405365,-0.167128131,0.559940994,-0.029184964
1632492882,737050112,14.3080492,-1.481266022,-0.561353385,-19.26706886,-0.096955396,0.556274056,-0.171834573
1632492882,837118720,14.40811777,-2.065941095,0.511118472,-19.34901047,-0.109577544,0.538032472,0.048195373
1632492882,937183232,14.50818229,-2.044270515,1.362041116,-17.95804596,0.278286338,0.552093565,0.046142057
1632492883,37249792,14.60824895,-0.892179012,2.456296206,-20.6260376,0.113977224,0.528656185,0.18937017
1632492883,137318144,14.70831728,-0.261040956,-0.30996564,-16.6403923,0.117991135,0.550267041,0.266589642
1632492883,237382400,14.80838156,0.801180422,0.226234078,-17.98588943,0.363474518,0.557433128,-0.007806532
1632492883,337454592,14.9084537,2.374160767,-1.426960468,-18.70965576,-0.236697957,0.538587272,-0.006051757
1632492883,437522688,15.0085218,2.236446381,1.513711095,-21.2767067,0.223095149,0.543420792,0.09996365
1632492883,537598720,15.10859776,1.945212722,-2.07875514,-18.18845749,-0.209766492,0.540273428,0.061504092
1632492883,637664768,15.20866394,2.952085257,0.237012476,-16.83396339,-0.083228767,0.542346001,-0.039423376
1632492883,737732864,15.30873203,2.767743587,1.474784493,-20.51787949,-0.219185799,0.538202047,0.156089544
1632492883,837802752,15.40880179,4.67372036,1.505645156,-17.31665993,0.170479044,0.546635211,0.20916459
1632492883,937868544,15.50886774,5.263903141,0.759793282,-20.8777771,0.032906007,0.528380632,0.305336624
1632492884,37936384,15.60893559,3.932820082,-1.008414984,-17.67136192,-0.325364679,0.517325461,0.308297038
1632492884,138006016,15.70900512,3.451709747,0.030947618,-18.05942154,-0.045471042,0.560230076,0.287888616
1632492884,238071552,15.80907059,5.454746723,-1.144785404,-14.88197517,0.253271639,0.554132998,0.051980507
